# D, Appellian Root
1.000000000000000048e-04,2.493990060239771323e-01
1.072267222010323142e-04,2.970262020608521181e-01
1.149756995397735633e-04,3.427523876772462508e-01
1.232846739442066016e-04,2.196076305383683203e-01
1.321941148466028784e-04,2.804831833333514268e-01
1.417474162926804862e-04,2.235501356707259302e-01
1.519911082952933080e-04,1.685123503105258602e-01
1.629750834620643444e-04,8.224484974238389923e-02
1.747528400007682938e-04,1.724533566896525316e-01
1.873817422860383000e-04,1.370210201074969492e-01
2.009233002565047864e-04,2.896230157998581078e-01
2.154434690031884489e-04,2.407426999924413419e-02
2.310129700083160510e-04,1.846217270780765585e-01
2.477076355991711192e-04,2.451390987668315355e-02
2.656087782946686443e-04,7.184567651398407473e-02
2.848035868435802175e-04,1.660426102894630163e-01
3.053855508833415791e-04,5.733098020703435854e-02
3.274549162877728420e-04,9.423295754350793918e-02
3.511191734215130954e-04,6.422928285378511071e-02
3.764935806792467539e-04,1.044709723658978073e-01
4.037017258596553842e-04,5.422389861764445596e-02
4.328761281083057092e-04,7.297369613167949132e-02
4.641588833612782196e-04,3.414323063480589893e-02
4.977023564332114366e-04,3.276966705424724791e-02
5.336699231206312212e-04,4.259029008562132540e-02
5.722367659350220594e-04,5.924407070600968411e-02
6.135907273413176120e-04,7.354990654698527475e-02
6.579332246575682417e-04,9.567426368085006627e-02
7.054802310718645249e-04,8.667910769942947791e-02
7.564633275546290073e-04,8.910893714235913754e-02
8.111308307896872294e-04,1.047845285502483764e-01
8.697490026177834418e-04,1.079663122628199551e-01
9.326033468832199040e-04,1.259672781307832057e-01
1.000000000000000021e-03,1.436321652821966055e-01
1.072267222010323115e-03,1.568191367740961184e-01
1.149756995397735633e-03,1.822258683793906153e-01
1.232846739442065853e-03,2.028172120012368962e-01
1.321941148466028622e-03,2.314644756641767165e-01
1.417474162926804808e-03,2.623964060503141682e-01
1.519911082952933243e-03,2.996302773960178856e-01
1.629750834620643553e-03,3.416674567653336658e-01
1.747528400007682938e-03,3.858218419450716308e-01
1.873817422860383055e-03,4.392439342554406156e-01
2.009233002565045858e-03,4.996078723412176736e-01
2.154434690031884272e-03,5.669551948893241100e-01
2.310129700083160455e-03,6.439228407089659934e-01
2.477076355991711300e-03,7.289707520441732758e-01
2.656087782946686768e-03,8.259756579450623359e-01
2.848035868435802066e-03,9.344711905219994508e-01
3.053855508833415357e-03,1.055163455041922660e+00
3.274549162877728528e-03,1.190718661050746752e+00
3.511191734215130845e-03,1.342289419499388847e+00
3.764935806792467539e-03,1.510714855474900364e+00
4.037017258596557745e-03,1.698003803410847556e+00
4.328761281083061754e-03,1.905774055104166642e+00
4.641588833612782412e-03,2.135907644369617664e+00
4.977023564332113716e-03,2.390329794696140819e+00
5.336699231206312212e-03,2.671063291996741640e+00
5.722367659350220161e-03,2.980282513671681066e+00
6.135907273413176120e-03,3.320274002826185900e+00
6.579332246575681983e-03,3.693403029327623432e+00
7.054802310718645032e-03,4.102191868386150908e+00
7.564633275546290940e-03,4.549242813186880063e+00
8.111308307896872294e-03,5.037213915123944119e+00
8.697490026177834635e-03,5.568931735764713231e+00
9.326033468832199691e-03,6.147226254995760364e+00
1.000000000000000021e-02,6.775035038427875023e+00
1.072267222010323158e-02,7.455298155738451449e+00
1.149756995397735633e-02,8.190986482341859443e+00
1.232846739442065853e-02,8.985069792408118872e+00
1.321941148466028795e-02,9.840474139312517465e+00
1.417474162926804851e-02,1.076005843287877717e+01
1.519911082952933069e-02,1.174658455391421974e+01
1.629750834620645114e-02,1.280267593268267134e+01
1.747528400007684890e-02,1.393078298148287253e+01
1.873817422860384746e-02,1.513314505007416244e+01
2.009233002565048026e-02,1.641174984466444897e+01
2.154434690031884619e-02,1.776830050495475177e+01
2.310129700083160542e-02,1.920417914599297760e+01
2.477076355991711387e-02,2.072041555121566248e+01
2.656087782946686682e-02,2.231766497064725030e+01
2.848035868435801893e-02,2.399618470911633139e+01
3.053855508833415444e-02,2.575582307862165266e+01
3.274549162877728181e-02,2.759601396891178027e+01
3.511191734215130672e-02,2.951577764340538934e+01
3.764935806792467365e-02,3.151373218630103068e+01
4.037017258596553582e-02,3.358810858093379181e+01
4.328761281083057244e-02,3.573677276365500433e+01
4.641588833612782239e-02,3.795724875507472973e+01
4.977023564332113542e-02,4.024674272374142703e+01
5.336699231206312732e-02,4.260216318156573578e+01
5.722367659350219987e-02,4.502013207791784311e+01
6.135907273413175600e-02,4.749698288179386907e+01
6.579332246575682330e-02,5.002874283776898068e+01
7.054802310718645553e-02,5.261109074740591751e+01
7.564633275546291113e-02,5.523929028546453424e+01
8.111308307896872294e-02,5.790809458458880954e+01
8.697490026177834288e-02,6.061162114543810731e+01
9.326033468832199691e-02,6.334320170999339439e+01
1.000000000000000056e-01,6.609520956675095249e+01
