# D, Appellian Root
1.000000000000000048e-04,3.746290093607705374e-01
1.072267222010323142e-04,3.256746023356115738e-01
1.149756995397735633e-04,1.695197259304192516e-01
1.232846739442066016e-04,1.646809316334266471e-01
1.321941148466028784e-04,3.626830461691219476e-01
1.417474162926804862e-04,2.773963275455969546e-01
1.519911082952933080e-04,2.500875577131004279e-01
1.629750834620643444e-04,2.286287534404418953e-01
1.747528400007682938e-04,2.889242620792318861e-01
1.873817422860383000e-04,1.978957393274532739e-01
2.009233002565047864e-04,1.097625284448191796e-01
2.154434690031884489e-04,1.030168053272994752e-02
2.310129700083160510e-04,1.355172379165550944e-01
2.477076355991711192e-04,3.694018258571740015e-02
2.656087782946686443e-04,7.049789593447927660e-02
2.848035868435802175e-04,7.255672713752302216e-02
3.053855508833415791e-04,1.399000464949002875e-01
3.274549162877728420e-04,1.863448071862844613e-01
3.511191734215130954e-04,2.692177690438572659e-03
3.764935806792467539e-04,3.290280162319166035e-02
4.037017258596553842e-04,6.142328950711214985e-02
4.328761281083057092e-04,5.843071027443019760e-02
4.641588833612782196e-04,4.212763281360228096e-02
4.977023564332114366e-04,3.632406614874979234e-02
5.336699231206312212e-04,5.009417892508580272e-02
5.722367659350220594e-04,4.631070620121550269e-02
6.135907273413176120e-04,2.254176772026404360e-02
6.579332246575682417e-04,1.531428214418099898e-02
7.054802310718645249e-04,7.318126042989645799e-04
7.564633275546290073e-04,1.425411218357116282e-02
8.111308307896872294e-04,3.271983271239690440e-03
8.697490026177834418e-04,1.564975379679637082e-02
9.326033468832199040e-04,1.716976492767522539e-02
1.000000000000000021e-03,2.115024051336815772e-02
1.072267222010323115e-03,2.300513591654541196e-02
1.149756995397735633e-03,2.976128422415853791e-02
1.232846739442065853e-03,3.390735731068061920e-02
1.321941148466028622e-03,3.727624419529897842e-02
1.417474162926804808e-03,3.905288068190072848e-02
1.519911082952933243e-03,4.548420957433330775e-02
1.629750834620643553e-03,5.044008342981708137e-02
1.747528400007682938e-03,5.892779341607758820e-02
1.873817422860383055e-03,6.320018521128312194e-02
2.009233002565045858e-03,7.430329200097611497e-02
2.154434690031884272e-03,8.636404410101015949e-02
2.310129700083160455e-03,9.865454317988307797e-02
2.477076355991711300e-03,1.127415972017339341e-01
2.656087782946686768e-03,1.293747742970347003e-01
2.848035868435802066e-03,1.479403093640197508e-01
3.053855508833415357e-03,1.701716124457231250e-01
3.274549162877728528e-03,1.948251154642093308e-01
3.511191734215130845e-03,2.232322077097409208e-01
3.764935806792467539e-03,2.560327267934593420e-01
4.037017258596557745e-03,2.936424868951391098e-01
4.328761281083061754e-03,3.363864046788199724e-01
4.641588833612782412e-03,3.855733880503879885e-01
4.977023564332113716e-03,4.416858360001575390e-01
5.336699231206312212e-03,5.059962860489239933e-01
5.722367659350220161e-03,5.792626742728107514e-01
6.135907273413176120e-03,6.630557681715177898e-01
6.579332246575681983e-03,7.585729755331489521e-01
7.054802310718645032e-03,8.674691668744332063e-01
7.564633275546290940e-03,9.914284789339389281e-01
8.111308307896872294e-03,1.132438865177469500e+00
8.697490026177834635e-03,1.292672881443396982e+00
9.326033468832199691e-03,1.474518853283475206e+00
1.000000000000000021e-02,1.680724317058262418e+00
1.072267222010323158e-02,1.914135537256564490e+00
1.149756995397735633e-02,2.178045691785851723e+00
1.232846739442065853e-02,2.475899367944431440e+00
1.321941148466028795e-02,2.811614029830243666e+00
1.417474162926804851e-02,3.189298311374975103e+00
1.519911082952933069e-02,3.613442053099509721e+00
1.629750834620645114e-02,4.088893682814701336e+00
1.747528400007684890e-02,4.620793100195870196e+00
1.873817422860384746e-02,5.214653361895683403e+00
2.009233002565048026e-02,5.876302122184473120e+00
2.154434690031884619e-02,6.611895920995918274e+00
2.310129700083160542e-02,7.427905335627615457e+00
2.477076355991711387e-02,8.331086807097847213e+00
2.656087782946686682e-02,9.328467304660993165e+00
2.848035868435801893e-02,1.042730953017600370e+01
3.053855508833415444e-02,1.163506978892912436e+01
3.274549162877728181e-02,1.295934898027669746e+01
3.511191734215130672e-02,1.440782986406711785e+01
3.764935806792467365e-02,1.598819916292111820e+01
4.037017258596553582e-02,1.770805637905975161e+01
4.328761281083057244e-02,1.957479968051550756e+01
4.641588833612782239e-02,2.159549385093236396e+01
4.977023564332113542e-02,2.377671049776956025e+01
5.336699231206312732e-02,2.612434419034150324e+01
5.722367659350219987e-02,2.864339421541822261e+01
6.135907273413175600e-02,3.133771300796372472e+01
6.579332246575682330e-02,3.420972286653728389e+01
7.054802310718645553e-02,3.726008811444497582e+01
7.564633275546291113e-02,4.048735330959238610e+01
8.111308307896872294e-02,4.388754399758659019e+01
8.697490026177834288e-02,4.745373370292595894e+01
9.326033468832199691e-02,5.117559278645155274e+01
1.000000000000000056e-01,5.503893357186010604e+01
