# D, Appellian Root
1.000000000000000048e-04,5.794984133671122533e-08
1.072267222010323142e-04,3.506301637166208093e-07
1.149756995397735633e-04,6.156864305475222523e-08
1.232846739442066016e-04,2.277553011880339262e-07
1.321941148466028784e-04,6.390239639580448636e-08
1.417474162926804862e-04,8.832220812097762809e-08
1.519911082952933080e-04,1.351680124597185562e-07
1.629750834620643444e-04,7.260926372383577008e-09
1.747528400007682938e-04,2.602659660244998243e-08
1.873817422860383000e-04,3.149120923493805211e-07
2.009233002565047864e-04,3.852732715426959833e-07
2.154434690031884489e-04,3.102040867994421998e-07
2.310129700083160510e-04,6.486332894374613606e-07
2.477076355991711192e-04,3.206950127834541955e-07
2.656087782946686443e-04,1.195803372077914541e-06
2.848035868435802175e-04,1.609304987042166600e-07
3.053855508833415791e-04,3.683210812526513554e-07
3.274549162877728420e-04,1.212370669042943499e-07
3.511191734215130954e-04,2.988576875139558985e-06
3.764935806792467539e-04,5.697183503699998656e-07
4.037017258596553842e-04,1.936711426141052341e-06
4.328761281083057092e-04,7.202590210448975039e-06
4.641588833612782196e-04,4.460449075830253153e-06
4.977023564332114366e-04,1.106084645568395084e-05
5.336699231206312212e-04,3.828584993812631712e-06
5.722367659350220594e-04,1.065228644866988069e-05
6.135907273413176120e-04,1.898913068876385130e-05
6.579332246575682417e-04,1.676224988626759900e-05
7.054802310718645249e-04,2.974998057265258893e-05
7.564633275546290073e-04,2.906138117742000291e-05
8.111308307896872294e-04,4.308774165998542247e-05
8.697490026177834418e-04,6.248599862627658350e-05
9.326033468832199040e-04,7.668845618215533217e-05
1.000000000000000021e-03,1.068344154325221509e-04
1.072267222010323115e-03,1.320387813135961085e-04
1.149756995397735633e-03,1.781309461782560287e-04
1.232846739442065853e-03,2.404235749559786590e-04
1.321941148466028622e-03,3.107665001077327587e-04
1.417474162926804808e-03,4.168233152848682308e-04
1.519911082952933243e-03,5.427084553346454582e-04
1.629750834620643553e-03,7.172985109718404712e-04
1.747528400007682938e-03,9.457182845127303384e-04
1.873817422860383055e-03,1.237006152858238350e-03
2.009233002565045858e-03,1.625441764920426300e-03
2.154434690031884272e-03,2.121993050928509209e-03
2.310129700083160455e-03,2.770530606313589828e-03
2.477076355991711300e-03,3.608185000610998963e-03
2.656087782946686768e-03,4.682024110416894286e-03
2.848035868435802066e-03,6.055993444266673763e-03
3.053855508833415357e-03,7.807081007123641524e-03
3.274549162877728528e-03,1.002868880425127583e-02
3.511191734215130845e-03,1.283786032101902688e-02
3.764935806792467539e-03,1.637759590286233177e-02
4.037017258596557745e-03,2.082467804002805303e-02
4.328761281083061754e-03,2.639734161199797091e-02
4.641588833612782412e-03,3.336509421821660937e-02
4.977023564332113716e-03,4.206050353848918288e-02
5.336699231206312212e-03,5.289320339143193522e-02
5.722367659350220161e-03,6.636644660346013858e-02
6.135907273413176120e-03,8.309654095670608587e-02
6.579332246575681983e-03,1.038353861014304630e-01
7.054802310718645032e-03,1.294967150294158431e-01
7.564633275546290940e-03,1.611862576704983230e-01
8.111308307896872294e-03,2.002362671517041726e-01
8.697490026177834635e-03,2.482445809479282839e-01
9.326033468832199691e-03,3.071181733966462102e-01
1.000000000000000021e-02,3.791208555322246321e-01
1.072267222010323158e-02,4.669243334690886815e-01
1.149756995397735633e-02,5.736612842909407650e-01
1.232846739442065853e-02,7.029785746848643546e-01
1.321941148466028795e-02,8.590880134611792451e-01
1.417474162926804851e-02,1.046811447188875643e+00
1.519911082952933069e-02,1.271616491065434174e+00
1.629750834620645114e-02,1.539638932141761618e+00
1.747528400007684890e-02,1.857688131950259169e+00
1.873817422860384746e-02,2.233232540002334954e+00
2.009233002565048026e-02,2.674364008371774570e+00
2.154434690031884619e-02,3.189741694831501384e+00
2.310129700083160542e-02,3.788518722314572429e+00
2.477076355991711387e-02,4.480256876640121178e+00
2.656087782946686682e-02,5.274835868835026531e+00
2.848035868435801893e-02,6.182363558798805059e+00
3.053855508833415444e-02,7.213091894469424226e+00
3.274549162877728181e-02,8.377340414790070966e+00
3.511191734215130672e-02,9.685425648754570460e+00
3.764935806792467365e-02,1.114759137857742388e+01
4.037017258596553582e-02,1.277393216760205341e+01
4.328761281083057244e-02,1.457430108330587970e+01
4.641588833612782239e-02,1.655819215573754022e+01
4.977023564332113542e-02,1.873458851694788763e+01
5.336699231206312732e-02,2.111176803223182219e+01
5.722367659350219987e-02,2.369705927748657359e+01
6.135907273413175600e-02,2.649654181386543783e+01
6.579332246575682330e-02,2.951468590286068761e+01
7.054802310718645553e-02,3.275392829274012740e+01
7.564633275546291113e-02,3.621418283155918516e+01
8.111308307896872294e-02,3.989228788101280543e+01
8.697490026177834288e-02,4.378139737840240997e+01
9.326033468832199691e-02,4.787032956659879090e+01
1.000000000000000056e-01,5.214289750673689383e+01
