GridPoints,TrueError,Result,NormalizedResult
1.000000000000000000e+01,2.489228849617622918e-01,1.408523879451157336e+04,1.408523879451157423e+00
1.900000000000000000e+01,7.221929517927287712e-02,1.209239176776341628e+04,1.209239176776341518e+00
3.700000000000000000e+01,1.916346574542654099e-02,1.149403294512123102e+04,1.149403294512123086e+00
7.300000000000000000e+01,4.880838191919002582e-03,1.133295476957768369e+04,1.133295476957768333e+00
1.450000000000000000e+02,1.226091410883732970e-03,1.129173686752448339e+04,1.129173686752448447e+00
2.890000000000000000e+02,3.066120770616422215e-04,1.128136706315990159e+04,1.128136706315990168e+00
5.770000000000000000e+02,7.636996367455397389e-05,1.127877041352952074e+04,1.127877041352951970e+00
1.153000000000000000e+03,1.878599786108997520e-05,1.127812098679630617e+04,1.127812098679630726e+00
2.305000000000000000e+03,4.388538959140493937e-06,1.127795861356325076e+04,1.127795861356325036e+00
4.609000000000000000e+03,7.890823224972088973e-07,1.127791801921842125e+04,1.127791801921842030e+00
9.217000000000000000e+03,1.107875473412192657e-07,1.127790787056780937e+04,1.127790787056780930e+00
1.843300000000000000e+04,3.357550879851757119e-07,1.127790533340433103e+04,1.127790533340432999e+00
3.686500000000000000e+04,3.919971537482040136e-07,1.127790469911142463e+04,1.127790469911142512e+00
7.372900000000000000e+04,4.060578765970518150e-07,1.127790454053587018e+04,1.127790454053587021e+00
