GridPoints,TrueError,Result,NormalizedResult
1.000000000000000000e+01,2.174767002193304100e-01,1.373059158081507667e+04,1.373059158081507691e+00
1.900000000000000000e+01,6.304244800721658937e-02,1.198889611934865570e+04,1.198889611934865540e+00
3.700000000000000000e+01,1.670681945218744496e-02,1.146632711148604722e+04,1.146632711148604766e+00
7.300000000000000000e+01,4.236306111538961673e-03,1.132568579535022036e+04,1.132568579535021991e+00
1.450000000000000000e+02,1.045479976666618439e-03,1.128969994818334635e+04,1.128969994818334710e+00
2.890000000000000000e+02,2.427312603613886893e-04,1.128064662111464349e+04,1.128064662111464278e+00
5.770000000000000000e+02,4.172003820123186459e-05,1.127837963481901716e+04,1.127837963481901795e+00
1.153000000000000000e+03,8.553167816406786564e-06,1.127781265817037820e+04,1.127781265817037859e+00
2.305000000000000000e+03,2.112274671375730648e-05,1.127767089960189696e+04,1.127767089960189706e+00
4.609000000000000000e+03,2.426522127673637729e-05,1.127763545905936371e+04,1.127763545905936304e+00
9.217000000000000000e+03,2.505084497768496159e-05,1.127762659886666188e+04,1.127762659886666130e+00
1.843300000000000000e+04,2.524725108332254018e-05,1.127762438381645188e+04,1.127762438381645138e+00
3.686500000000000000e+04,2.529635289605813947e-05,1.127762383005067022e+04,1.127762383005066926e+00
7.372900000000000000e+04,2.530862765933337765e-05,1.127762369161700553e+04,1.127762369161700473e+00
