GridPoints,RelativeError,Result,NormalizedResult
1.000000000000000000e+01,1.000000000000000000e+02,7.261442956395610236e+04,7.261442956395610437e+00
1.900000000000000000e+01,6.924827558011743822e-02,7.801697021750360727e+04,7.801697021750360506e+00
3.700000000000000000e+01,1.121656923513839610e-01,8.787334477322416205e+04,8.787334477322415793e+00
7.300000000000000000e+01,1.016066709592021444e-01,9.781166214473711443e+04,9.781166214473710596e+00
1.450000000000000000e+02,1.702243179112978774e-02,9.950548751887019898e+04,9.950548751887019705e+00
2.890000000000000000e+02,7.858905961040377392e-05,9.951330817617848516e+04,9.951330817617847657e+00
5.770000000000000000e+02,3.548990456839372499e-10,9.951330821149566327e+04,9.951330821149566574e+00
1.153000000000000000e+03,7.311542290122479198e-16,9.951330821149559051e+04,9.951330821149559469e+00
2.305000000000000000e+03,7.311542290122484129e-16,9.951330821149551775e+04,9.951330821149552364e+00
4.609000000000000000e+03,5.849233832097991247e-16,9.951330821149545955e+04,9.951330821149545258e+00
9.217000000000000000e+03,2.485924378641639871e-15,9.951330821149570693e+04,9.951330821149570127e+00
1.843300000000000000e+04,5.849233832097973498e-16,9.951330821149576514e+04,9.951330821149577233e+00
3.686500000000000000e+04,1.023615920617146397e-15,9.951330821149566327e+04,9.951330821149566574e+00
7.372900000000000000e+04,1.901000995431846662e-15,9.951330821149547410e+04,9.951330821149547035e+00
1.474570000000000000e+05,3.802001990863708313e-15,9.951330821149509575e+04,9.951330821149509731e+00
2.949130000000000000e+05,1.667031642147905713e-14,9.951330821149675467e+04,9.951330821149674932e+00
