GridPoints,RelativeError,Result,NormalizedResult
1.000000000000000000e+01,1.000000000000000000e+02,7.174194054358228459e+04,7.174194054358228101e+00
1.900000000000000000e+01,5.981282699241950718e-02,6.769302910512464587e+04,6.769302910512464244e+00
3.700000000000000000e+01,1.036927801570066004e-01,7.552435995883472788e+04,7.552435995883472586e+00
7.300000000000000000e+01,1.243232946635332119e-02,7.647512389507853368e+04,7.647512389507853392e+00
1.450000000000000000e+02,3.943153199186449692e-05,7.647813954528469185e+04,7.647813954528468905e+00
2.890000000000000000e+02,8.581824030596022671e-11,7.647813955184791121e+04,7.647813955184791013e+00
5.770000000000000000e+02,1.902754867422146446e-15,7.647813955184776569e+04,7.647813955184776802e+00
1.153000000000000000e+03,9.513774337110724341e-16,7.647813955184783845e+04,7.647813955184783907e+00
2.305000000000000000e+03,1.902754867422145016e-16,7.647813955184782390e+04,7.647813955184782131e+00
4.609000000000000000e+03,1.331928407195499712e-15,7.647813955184792576e+04,7.647813955184792789e+00
9.217000000000000000e+03,3.424958761359844907e-15,7.647813955184818769e+04,7.647813955184818546e+00
1.843300000000000000e+04,7.991570443173035741e-15,7.647813955184757651e+04,7.647813955184757262e+00
3.686500000000000000e+04,1.065542725756416020e-14,7.647813955184676161e+04,7.647813955184676438e+00
7.372900000000000000e+04,1.255818212498617490e-14,7.647813955184772203e+04,7.647813955184772361e+00
1.474570000000000000e+05,3.995785221586525759e-15,7.647813955184741644e+04,7.647813955184741275e+00
2.949130000000000000e+05,5.327713628782005946e-15,7.647813955184782390e+04,7.647813955184782131e+00
