GridPoints,RelativeError,Result,NormalizedResult
1.000000000000000000e+01,1.000000000000000000e+02,8.931817105034440465e+04,8.931817105034440374e+00
1.900000000000000000e+01,3.619178611998345035e-02,9.267214137009163096e+04,9.267214137009162300e+00
3.700000000000000000e+01,5.702878771351895318e-03,9.320367060459464847e+04,9.320367060459464170e+00
7.300000000000000000e+01,6.763619582274298084e-06,9.320430100303006475e+04,9.320430100303006782e+00
1.450000000000000000e+02,2.315240268943566414e-12,9.320430100324585510e+04,9.320430100324585965e+00
2.890000000000000000e+02,1.249033795370460137e-15,9.320430100324573868e+04,9.320430100324573530e+00
5.770000000000000000e+02,1.249033795370458559e-15,9.320430100324585510e+04,9.320430100324585965e+00
1.153000000000000000e+03,7.806461221065359830e-16,9.320430100324592786e+04,9.320430100324593070e+00
2.305000000000000000e+03,1.561292244213071719e-16,9.320430100324594241e+04,9.320430100324594846e+00
4.609000000000000000e+03,2.498067590740921062e-15,9.320430100324570958e+04,9.320430100324571754e+00
9.217000000000000000e+03,3.122584488426141565e-15,9.320430100324600062e+04,9.320430100324600176e+00
1.843300000000000000e+04,1.249033795370458164e-15,9.320430100324588420e+04,9.320430100324587741e+00
3.686500000000000000e+04,3.903230610532697270e-15,9.320430100324552041e+04,9.320430100324552214e+00
7.372900000000000000e+04,2.185809141898305486e-15,9.320430100324572413e+04,9.320430100324571754e+00
1.474570000000000000e+05,1.639356856423756014e-14,9.320430100324419618e+04,9.320430100324418987e+00
2.949130000000000000e+05,9.055495016435904177e-15,9.320430100324504019e+04,9.320430100324504252e+00
