GridPoints,RelativeError,Result,NormalizedResult
1.000000000000000000e+01,1.000000000000000000e+02,2.269125739712321374e+05,2.269125739712321277e+01
1.900000000000000000e+01,2.710991217418462192e-04,2.269741064521494554e+05,2.269741064521494422e+01
3.700000000000000000e+01,7.682787608502169472e-09,2.269741081959433213e+05,2.269741081959433160e+01
7.300000000000000000e+01,0.000000000000000000e+00,2.269741081959433213e+05,2.269741081959433160e+01
1.450000000000000000e+02,5.129013293729307875e-16,2.269741081959434377e+05,2.269741081959434226e+01
2.890000000000000000e+02,1.025802658745862561e-15,2.269741081959432049e+05,2.269741081959432094e+01
5.770000000000000000e+02,7.693519940593963785e-16,2.269741081959433795e+05,2.269741081959433870e+01
1.153000000000000000e+03,2.564506646864655417e-16,2.269741081959433213e+05,2.269741081959433160e+01
2.305000000000000000e+03,1.282253323432327462e-16,2.269741081959433504e+05,2.269741081959433515e+01
4.609000000000000000e+03,5.129013293729306889e-16,2.269741081959434669e+05,2.269741081959434581e+01
9.217000000000000000e+03,4.359661299669891775e-15,2.269741081959444564e+05,2.269741081959444529e+01
1.843300000000000000e+04,6.924167946534582395e-15,2.269741081959428848e+05,2.269741081959428897e+01
3.686500000000000000e+04,7.693519940593921187e-15,2.269741081959446310e+05,2.269741081959446305e+01
7.372900000000000000e+04,7.693519940593915467e-16,2.269741081959448056e+05,2.269741081959448081e+01
1.474570000000000000e+05,5.898365287788703465e-15,2.269741081959434669e+05,2.269741081959434581e+01
2.949130000000000000e+05,6.795942614191378196e-15,2.269741081959419244e+05,2.269741081959419304e+01
