GridPoints,RelativeError,Result,NormalizedResult
1.000000000000000000e+01,1.000000000000000000e+02,6.607320815948367817e+04,6.607320815948368065e+00
1.900000000000000000e+01,6.950170919612108644e-01,2.166456100257269864e+05,2.166456100257270023e+01
3.700000000000000000e+01,1.733623004911503396e-01,1.846365866152702074e+05,1.846365866152702040e+01
7.300000000000000000e+01,4.581641613990446171e-03,1.837945060578925477e+05,1.837945060578925549e+01
1.450000000000000000e+02,1.855315722709690392e-04,1.838286120693181583e+05,1.838286120693181758e+01
2.890000000000000000e+02,2.405117071544137820e-03,1.842718073389533674e+05,1.842718073389533728e+01
5.770000000000000000e+02,2.061500828828199960e-02,1.881505321180108294e+05,1.881505321180108226e+01
1.153000000000000000e+03,1.369271078170380962e-01,2.180007434159164841e+05,2.180007434159164958e+01
2.305000000000000000e+03,4.630637471864707533e-01,4.060086132638639538e+05,4.060086132638639356e+01
4.609000000000000000e+03,6.156048815271500940e-01,1.056227287372642895e+06,1.056227287372642962e+02
9.217000000000000000e+03,3.416069744235675776e-01,1.604250419341700850e+06,1.604250419341700820e+02
1.843300000000000000e+04,2.463046062675749992e-02,1.644761656564103439e+06,1.644761656564103305e+02
3.686500000000000000e+04,2.418268101741705001e-05,1.644801432272477075e+06,1.644801432272477086e+02
7.372900000000000000e+04,5.162952742697366724e-12,1.644801432280969108e+06,1.644801432280969209e+02
1.474570000000000000e+05,9.201105702172175166e-15,1.644801432280984242e+06,1.644801432280984272e+02
2.949130000000000000e+05,6.511551727690654543e-14,1.644801432281091344e+06,1.644801432281091422e+02
