GridPoints,TrueError,Result,NormalizedResult
1.000000000000000000e+01,1.616323990621015838e+01,1.935654598673335859e+05,1.935654598673335869e+01
1.900000000000000000e+01,7.603527250000976956e+00,9.702979843712403090e+04,9.702979843712403962e+00
3.700000000000000000e+01,3.376139066126783383e+00,4.935369868434574164e+04,4.935369868434574592e+00
7.300000000000000000e+01,1.366527288608647472e+00,2.668947969097495661e+04,2.668947969097495765e+00
1.450000000000000000e+02,4.889321404028910689e-01,1.679204136534021745e+04,1.679204136534021785e+00
2.890000000000000000e+02,1.534915452181760953e-01,1.300897281768168432e+04,1.300897281768168323e+00
5.770000000000000000e+02,4.359216464994675883e-02,1.176953759128673482e+04,1.176953759128673394e+00
1.153000000000000000e+03,1.157338638185576550e-02,1.140843271984514286e+04,1.140843271984514296e+00
2.305000000000000000e+03,2.935867940949943820e-03,1.131101957184611274e+04,1.131101957184611262e+00
4.609000000000000000e+03,7.142608101714658124e-04,1.128596448852480535e+04,1.128596448852480449e+00
