GridPoints,TrueError,Result,NormalizedResult
1.000000000000000000e+01,1.324518217874238735e+00,2.621570520901581767e+04,2.621570520901581602e+00
1.900000000000000000e+01,4.684982312041569008e-01,1.656158959443015920e+04,1.656158959443015943e+00
3.700000000000000000e+01,1.456605794915423191e-01,1.292065589789471960e+04,1.292065589789471947e+00
7.300000000000000000e+01,4.111212710186100405e-02,1.174156795320518722e+04,1.174156795320518754e+00
1.450000000000000000e+02,1.087259984401075033e-02,1.140052931295879353e+04,1.140052931295879368e+00
2.890000000000000000e+02,2.751804429207766606e-03,1.130894372028837279e+04,1.130894372028837358e+00
5.770000000000000000e+02,6.675466313074972539e-04,1.128543765026096116e+04,1.128543765026096102e+00
1.153000000000000000e+03,1.425014294005096799e-04,1.127951623818995176e+04,1.127951623818995275e+00
2.305000000000000000e+03,1.097904527376711586e-05,1.127803294069452204e+04,1.127803294069452233e+00
4.609000000000000000e+03,2.191807626989897856e-05,1.127766192994744233e+04,1.127766192994744232e+00
