x, y
1.000000000000000000e+00,1.332267629550187799e-17
9.958950069116230264e-01,-5.748582886096675545e-04
9.836474315195147256e-01,-2.275419071746034340e-03
9.634583786730108734e-01,-5.031819738906226878e-03
9.356593520616945936e-01,-8.734321685986146111e-03
9.007068109339781969e-01,-1.324154632980767410e-02
8.591746750488635787e-01,-1.838894290530939529e-02
8.117449009293665751e-01,-2.399557387805154041e-02
7.591962841552623020e-01,-2.986802078460439047e-02
7.023916715611968620e-01,-3.580133196301737292e-02
6.422637933155161960e-01,-4.157813025837151649e-02
5.797999475166896177e-01,-4.696791151099123651e-02
5.160257887858274994e-01,-5.172889420067666721e-02
4.519884870461590709e-01,-5.561437718416973458e-02
3.887395330218427758e-01,-5.838447458943197416e-02
3.273174727893460867e-01,-5.982256859371913593e-02
2.687308548795823149e-01,-5.975423568694214482e-02
2.139416699389151688e-01,-5.806518824067244400e-02
1.638495548693416071e-01,-5.471429244989027552e-02
1.192770208154327882e-01,-4.973817314891542524e-02
8.095594755407964360e-02,-4.324526884793415682e-02
4.951556604879042700e-02,-3.539920155219959674e-02
2.547212649466568113e-02,-2.639354561030850949e-02
9.220421504467335438e-03,-1.642201231487861943e-02
1.027303624831832352e-03,-5.649251708112265971e-03
1.027303624831832352e-03,5.649251708112265971e-03
9.220421504467335438e-03,1.642201231487861943e-02
2.547212649466568113e-02,2.639354561030850949e-02
4.951556604879042700e-02,3.539920155219959674e-02
8.095594755407964360e-02,4.324526884793415682e-02
1.192770208154327882e-01,4.973817314891542524e-02
1.638495548693416071e-01,5.471429244989027552e-02
2.139416699389151688e-01,5.806518824067244400e-02
2.687308548795823149e-01,5.975423568694214482e-02
3.273174727893460867e-01,5.982256859371913593e-02
3.887395330218427758e-01,5.838447458943197416e-02
4.519884870461590709e-01,5.561437718416973458e-02
5.160257887858274994e-01,5.172889420067666721e-02
5.797999475166896177e-01,4.696791151099123651e-02
6.422637933155161960e-01,4.157813025837151649e-02
7.023916715611968620e-01,3.580133196301737292e-02
7.591962841552623020e-01,2.986802078460439047e-02
8.117449009293665751e-01,2.399557387805154041e-02
8.591746750488635787e-01,1.838894290530939529e-02
9.007068109339781969e-01,1.324154632980767410e-02
9.356593520616945936e-01,8.734321685986146111e-03
9.634583786730108734e-01,5.031819738906226878e-03
9.836474315195147256e-01,2.275419071746034340e-03
9.958950069116230264e-01,5.748582886096675545e-04
1.000000000000000000e+00,-1.332267629550187799e-17
