x, y
1.000000000000000000e+00,1.332267629550187799e-17
9.989933382359421632e-01,-1.412004376970377021e-04
9.959774064153976703e-01,-5.633434322062047485e-04
9.909643486313532978e-01,-1.262087737498254151e-03
9.839743506981781795e-01,-2.230308105350992977e-03
9.750355588704726628e-01,-3.458252978607860746e-03
9.641839665080362831e-01,-4.933750742117175639e-03
9.514632691433106970e-01,-6.642451321680029573e-03
9.369246885348925247e-01,-8.568087913781457024e-03
9.206267664155907138e-01,-1.069274277078082272e-02
9.026351287655293154e-01,-1.299710133290464704e-02
8.830222215594891733e-01,-1.546068057677413635e-02
8.618670190525350439e-01,-1.806202013896343259e-02
8.392547057785662012e-01,-2.077882838869826027e-02
8.152763335422612556e-01,-2.358807991244482594e-02
7.900284547855991324e-01,-2.646606552748526422e-02
7.636127338052511870e-01,-2.938840062150640739e-02
7.361355373863415208e-01,-3.233000197100194262e-02
7.077075065009431620e-01,-3.526504688770464718e-02
6.784431107959358886e-01,-3.816693128219177111e-02
6.484601876641373774e-01,-4.100824477946667102e-02
6.178794677547135850e-01,-4.376078121192461534e-02
5.868240888334651517e-01,-4.639560157960557346e-02
5.554190999505055348e-01,-4.888316393162452089e-02
5.237909579118711356e-01,-5.119353070904656550e-02
4.920670180825960083e-01,-5.329665911255044436e-02
4.603750215716057581e-01,-5.516277431174243517e-02
4.288425808633573588e-01,-5.676281915262029742e-02
3.975966659674045611e-01,-5.806896784120067073e-02
3.667630931549824558e-01,-5.905518529563049540e-02
3.364660183412890859e-01,-5.969780886591473379e-02
3.068274371534356337e-01,-5.997612528205278903e-02
2.779666936971129099e-01,-5.987291330861833211e-02
2.499999999999999445e-01,-5.937492187499998630e-02
2.230399680669448714e-01,-5.847325453573689463e-02
1.971951564311666960e-01,-5.716363400651455068e-02
1.725696330273575052e-01,-5.544652511880631546e-02
1.492625561468393647e-01,-5.332710063239148174e-02
1.273677751621226650e-01,-5.081504163522022194e-02
1.069734526286062470e-01,-4.792417235884439963e-02
8.816170928508360038e-02,-4.467193770072609704e-02
7.100829338251146705e-02,-4.107874009525349507e-02
5.558227567253826162e-02,-3.716716013186891626e-02
4.194577128396520527e-02,-3.296109202447422559e-02
3.015368960704584156e-02,-2.848483028666112804e-02
2.025351319275131567e-02,-2.376214743499284465e-02
1.228510655729647683e-02,-1.881540399796339039e-02
6.280555661802855738e-03,-1.366473143432645268e-02
2.264038713457705576e-03,-8.327325764803088920e-03
2.517288084074587040e-04,-2.816884920858775919e-03
2.517288084074587040e-04,2.816884920858775919e-03
2.264038713457705576e-03,8.327325764803088920e-03
6.280555661802855738e-03,1.366473143432645268e-02
1.228510655729647683e-02,1.881540399796339039e-02
2.025351319275131567e-02,2.376214743499284465e-02
3.015368960704584156e-02,2.848483028666112804e-02
4.194577128396520527e-02,3.296109202447422559e-02
5.558227567253826162e-02,3.716716013186891626e-02
7.100829338251146705e-02,4.107874009525349507e-02
8.816170928508360038e-02,4.467193770072609704e-02
1.069734526286062470e-01,4.792417235884439963e-02
1.273677751621226650e-01,5.081504163522022194e-02
1.492625561468393647e-01,5.332710063239148174e-02
1.725696330273575052e-01,5.544652511880631546e-02
1.971951564311666960e-01,5.716363400651455068e-02
2.230399680669448714e-01,5.847325453573689463e-02
2.499999999999999445e-01,5.937492187499998630e-02
2.779666936971129099e-01,5.987291330861833211e-02
3.068274371534356337e-01,5.997612528205278903e-02
3.364660183412890859e-01,5.969780886591473379e-02
3.667630931549824558e-01,5.905518529563049540e-02
3.975966659674045611e-01,5.806896784120067073e-02
4.288425808633573588e-01,5.676281915262029742e-02
4.603750215716057581e-01,5.516277431174243517e-02
4.920670180825960083e-01,5.329665911255044436e-02
5.237909579118711356e-01,5.119353070904656550e-02
5.554190999505055348e-01,4.888316393162452089e-02
5.868240888334651517e-01,4.639560157960557346e-02
6.178794677547135850e-01,4.376078121192461534e-02
6.484601876641373774e-01,4.100824477946667102e-02
6.784431107959358886e-01,3.816693128219177111e-02
7.077075065009431620e-01,3.526504688770464718e-02
7.361355373863415208e-01,3.233000197100194262e-02
7.636127338052511870e-01,2.938840062150640739e-02
7.900284547855991324e-01,2.646606552748526422e-02
8.152763335422612556e-01,2.358807991244482594e-02
8.392547057785662012e-01,2.077882838869826027e-02
8.618670190525350439e-01,1.806202013896343259e-02
8.830222215594891733e-01,1.546068057677413635e-02
9.026351287655293154e-01,1.299710133290464704e-02
9.206267664155907138e-01,1.069274277078082272e-02
9.369246885348925247e-01,8.568087913781457024e-03
9.514632691433106970e-01,6.642451321680029573e-03
9.641839665080362831e-01,4.933750742117175639e-03
9.750355588704726628e-01,3.458252978607860746e-03
9.839743506981781795e-01,2.230308105350992977e-03
9.909643486313532978e-01,1.262087737498254151e-03
9.959774064153976703e-01,5.633434322062047485e-04
9.989933382359421632e-01,1.412004376970377021e-04
1.000000000000000000e+00,-1.332267629550187799e-17
