x, y
1.000000000000000000e+00,4.426749094115778594e-17
9.989558797896748166e-01,-3.887233080782712255e-04
9.958288570935345252e-01,-1.551413536493310031e-03
9.906348888679918918e-01,-3.477718116783662904e-03
9.834003826179534835e-01,-6.150664469887890881e-03
9.741619223372294245e-01,-9.547059641449407580e-03
9.629658983614445278e-01,-1.363800577556884171e-02
9.498680533081499400e-01,-1.838949152733015263e-02
9.349329579747255314e-01,-2.376301367346349627e-02
9.182334316893898674e-01,-2.971618096848446799e-02
8.998499211860909730e-01,-3.620325395863996376e-02
8.798698507326384588e-01,-4.317557997728611874e-02
8.583869542112922968e-01,-5.058189158980422317e-02
8.355005974306654037e-01,-5.836844875353019296e-02
8.113150964723342407e-01,-6.647901909480299909e-02
7.859390356786932763e-01,-7.485470598478558002e-02
7.594845872634624628e-01,-8.343364940393517559e-02
7.320668336905692408e-01,-9.215063876476589644e-02
7.038030940352659748e-01,-1.009366887943762003e-01
6.748122565080640900e-01,-1.097186382609717792e-01
6.452141210587005737e-01,-1.184188359546916869e-01
6.151287582426110401e-01,-1.269549783524994147e-01
5.846758929958140172e-01,-1.352401585656115568e-01
5.539743242413985858e-01,-1.431831765755751107e-01
5.231413929461913304e-01,-1.506891468404154000e-01
4.922925119985523401e-01,-1.576604218442612948e-01
4.615407708053534397e-01,-1.639978300997858018e-01
4.309966256422674280e-01,-1.696022057352175594e-01
4.007676835138918037e-01,-1.743761654847136300e-01
3.709585827217350418e-01,-1.782260690751231169e-01
3.416709677830315206e-01,-1.810640820347292346e-01
3.130035502073753029e-01,-1.828102470659851986e-01
2.850522404332825888e-01,-1.833944623192766410e-01
2.579103305148707781e-01,-1.827582628717711044e-01
2.316687024879645895e-01,-1.808563057959879650e-01
2.064160342341354593e-01,-1.776574693592762044e-01
1.822389734888524571e-01,-1.731454927091081175e-01
1.592222516414178446e-01,-1.673191030928422862e-01
1.374487122030406683e-01,-1.601916021449587557e-01
1.169992341342091652e-01,-1.517899097138665776e-01
9.795253729369170215e-02,-1.421530915928796435e-01
8.038486560394166036e-02,-1.313304247896039667e-01
6.436955250024950503e-02,-1.193790790579475208e-01
4.997648214790349069e-02,-1.063615148819652551e-01
3.727146806167584703e-02,-9.234271469150476253e-02
2.631557747988710894e-02,-7.738737482478366680e-02
1.716443457002315293e-02,-6.155718997478634713e-02
9.867537867152777545e-03,-4.490835926687841012e-02
4.467627053647711330e-03,-2.748943379221534603e-02
1.000131273611729434e-03,-9.339609813701667262e-03
-4.966736567968120259e-04,9.379876284263982678e-03
6.045037326770025601e-05,2.785085984696121161e-02
2.693573456452933931e-03,4.590693691205949972e-02
7.405778544569799858e-03,6.349865920905392591e-02
1.419144890561552241e-02,8.056230416816004269e-02
2.303591115241583609e-02,9.702182582912521891e-02
3.391506042002691984e-02,1.127913266508226015e-01
4.679499884482701821e-02,1.277779408665235539e-01
6.163172116108127374e-02,1.418850032941502970e-01
7.837088127647549862e-02,1.550153671610421946e-01
9.694767112300332890e-02,1.670747310036780342e-01
1.172868381212046757e-01,1.779748381469385410e-01
1.393028606522608848e-01,1.876364223695384525e-01
1.629002925658625534e-01,1.959917894745738520e-01
1.879742786281979328e-01,2.029869456330769262e-01
2.144112336459251533e-01,2.085832083098505263e-01
2.420896694851291109e-01,2.127582628717710755e-01
2.708811469609432310e-01,2.155066560620299554e-01
3.006513240994959646e-01,2.168397448201115907e-01
3.312610688995466512e-01,2.167851439295849780e-01
3.625676035882298698e-01,2.153857373398226360e-01
3.944256484209173186e-01,2.126983346333550240e-01
4.266885360844472896e-01,2.087920652075074823e-01
4.592092723378580765e-01,2.037466078733136676e-01
4.918415241666396764e-01,1.976503526919250187e-01
5.244405228775509409e-01,1.905985852918770651e-01
5.568638756596124839e-01,1.826917723132832627e-01
5.889722846711162862e-01,1.740340109813297009e-01
6.206301772668161298e-01,1.647316873255978975e-01
6.517062542695741811e-01,1.548923675832883651e-01
6.820739650838076873e-01,1.446239272544868615e-01
7.116119189666203493e-01,1.340339034732818957e-01
7.402042410821138008e-01,1.232290400420880949e-01
7.677408803470399112e-01,1.123149816560506525e-01
7.941178738925049885e-01,1.013960652511340099e-01
8.192375706121882706e-01,9.057515245610681109e-02
8.430088141264669988e-01,7.995344789066595459e-02
8.653470838937777909e-01,6.963025327332937608e-02
8.861745923863398877e-01,5.970261642394748824e-02
9.054203363449676578e-01,5.026484645207446311e-02
9.230201011417915602e-01,4.140788070844672597e-02
9.389164190950595179e-01,3.321850432125344338e-02
9.530584849784714541e-01,2.577843818563969186e-02
9.654020346546280384e-01,1.916332501346744432e-02
9.759091954037159011e-01,1.344165449082823996e-02
9.845483187784028756e-01,8.673676928492185870e-03
9.912938083947147039e-01,4.910359456462219142e-03
9.961259557372608153e-01,2.192439508566181375e-03
9.990307966822095098e-01,5.496270514623705127e-04
1.000000000000000000e+00,-4.426749094115778594e-17
