"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          83,       9.274568477,       11.27634591,       10.72020933,        13.7762102
          0,           0,          84,       9.514927969,       11.57486952,       10.81231237,       13.82863975
          0,           0,          85,       9.393651278,        11.3684382,       10.80063687,       13.81183496
          0,           0,          86,        9.61494557,       11.45823307,       10.93324808,       13.78963135
          0,           0,          87,       9.791460843,       11.71121201,       11.01294308,       13.88908771
          0,           0,          88,       10.17073321,       11.63667102,       11.14757087,       13.88133646
          0,           0,          89,       10.02537467,       11.67794226,       11.03674907,       13.92610712
          0,           0,          90,       10.26457782,       12.19373619,       11.42552661,       14.10162322
          0,           0,          91,       10.20774964,        12.1050895,       11.40567417,       14.22391471
          0,           0,          92,       10.19990446,       11.93601475,       11.38452745,       13.93424856
          0,           0,          93,       10.44286699,        12.2495424,       11.58767457,       14.26934463
          0,           0,          94,       10.51679252,       12.20873402,       11.57232358,       14.17640951
          0,           0,          95,       10.59354757,       12.32677712,       11.65409657,       14.38872756
          0,           0,          96,       11.23764505,       12.72000544,       11.80037264,       14.52981216
          0,           0,          97,       10.97803012,       12.77127272,       11.98990593,       14.75955067
          0,           0,          98,       11.02606768,       12.74254875,         12.028597,       14.83518579
          0,           0,          99,       11.20034175,       12.91826822,       12.23523324,       14.91967325
          0,           0,         100,        11.4926144,       12.84855954,       12.29181668,       14.94565657
          0,           0,         101,       12.39722367,       13.95705418,       13.21002367,       15.65758195
          0,           0,         102,       11.96250482,       13.10527713,       12.50857364,       15.23951059
          0,           0,         103,        11.8559863,       13.22388646,        12.5174245,        15.2413517
          0,           0,         104,       12.13069635,       13.23236632,       12.58868806,       15.60793278
          0,           0,         105,       12.07671105,       13.38066136,       12.78897881,       15.64251663
          0,           0,         106,       12.10152378,       13.58286718,       13.42289561,       15.78249049
          0,           0,         107,       12.49841211,       13.97814667,       13.62669673,       16.26113045
          0,           0,         108,       12.32308694,       14.07642305,       13.77348454,       17.02667629
          0,           0,         109,       12.60275695,       14.13069281,       13.94720809,        16.9686459
          0,           0,         110,       12.78541727,       14.35041184,       14.13935924,       17.08105756
          0,           0,         111,       12.81717517,        14.3211467,       14.10371668,       16.95080262
          0,           0,         112,       12.96170519,       14.44342238,        14.1060654,       16.79878074
          0,           0,         113,       13.25709287,       14.64901259,       14.54248055,       17.40054623
          0,           0,         114,       13.27500887,       14.59388441,       14.26278485,       17.07742756
          0,           0,         115,       13.39668356,       14.75562535,       14.39369639,       17.13599299
          0,           0,         116,       14.18812991,        14.9548529,       14.63296797,       17.74192207
          0,           0,         117,       13.78612739,       15.02177371,       15.01580504,        17.8000888
          0,           0,         118,       13.97728287,       15.14870953,       14.90596245,       17.84136253
          0,           0,         119,       14.14670674,       15.57166623,       14.98900872,       17.99465597
          0,           0,         120,       14.12665314,       15.25676403,       15.16776554,       18.05106239
          0,           0,         121,       14.78769792,       15.88992168,       15.24333522,       18.09502004
          0,           0,         122,       14.79415783,       15.69055109,       15.39316607,       17.90786841
          0,           0,         123,       14.55452649,       15.67222931,       15.22840083,       17.95320754
          0,           0,         124,       15.66705303,       16.27016054,       15.88869239,        18.3283449
          0,           0,         125,        15.2325513,       16.01391001,       15.72171321,       18.19709563
          0,           0,         126,       15.19008849,       16.02299549,       15.84314898,        17.9587379
