D, Gamma_A/Gamma_K
1.000000000000000021e-03,9.980899004750209969e-01
2.000000000000000042e-03,9.963863527856962055e-01
3.000000000000000062e-03,9.946797692416021741e-01
4.000000000000000083e-03,9.920167625038928128e-01
5.000000000000000104e-03,9.884380048097197724e-01
6.000000000000000125e-03,9.841459432706298749e-01
7.000000000000000146e-03,9.793114392311790262e-01
8.000000000000000167e-03,9.740448674626405179e-01
8.999999999999999320e-03,9.684202403022307282e-01
1.000000000000000021e-02,9.624931120247366412e-01
2.000000000000000042e-02,8.937845389387050199e-01
2.999999999999999889e-02,8.195890960936986769e-01
4.000000000000000083e-02,7.469171741349528437e-01
5.000000000000000278e-02,6.780110432771810913e-01
6.000000000000000472e-02,6.135187558192793933e-01
6.999999999999999278e-02,5.534969145591559503e-01
8.000000000000000167e-02,4.977846080208078727e-01
8.999999999999999667e-02,4.461518541618632594e-01
9.999999999999999167e-02,3.983579334346770140e-01
1.100000000000000006e-01,3.541723567361656499e-01
1.199999999999999956e-01,3.133807775218486191e-01
1.300000000000000044e-01,2.757837819447593319e-01
1.400000000000000133e-01,2.411945562613863336e-01
1.500000000000000222e-01,2.094367114889817694e-01
1.600000000000000033e-01,1.803415130128498411e-01
1.700000000000000122e-01,1.537472442896163360e-01
1.800000000000000211e-01,1.294974421515600049e-01
1.900000000000000022e-01,1.074411410388857041e-01
2.000000000000000111e-01,8.743356389957020192e-02
2.100000000000000200e-01,6.933337461001840007e-02
2.200000000000000011e-01,5.300674659973700353e-02
2.300000000000000100e-01,3.832575596925251460e-02
2.400000000000000189e-01,2.516553596435954984e-02
2.500000000000000000e-01,1.341329371811009197e-02
2.600000000000000089e-01,2.957303649281645477e-03
2.700000000000000178e-01,-6.307761339458453805e-03
2.800000000000000266e-01,-1.447584758591556608e-02
2.900000000000000355e-01,-2.164209659063428409e-02
2.999999999999999889e-01,-2.788784296541237454e-02
3.099999999999999978e-01,-3.329628048539784446e-02
3.200000000000000067e-01,-3.793854243653626418e-02
3.300000000000000155e-01,-4.188399523055628265e-02
3.400000000000000244e-01,-4.519871799316311362e-02
3.500000000000000333e-01,-4.793765584299608529e-02
3.600000000000000422e-01,-5.015519642828343561e-02
3.699999999999999956e-01,-5.190702655797855419e-02
3.800000000000000044e-01,-5.323530754188249975e-02
3.900000000000000133e-01,-5.418483460984102607e-02
4.000000000000000222e-01,-5.479195984461514984e-02
4.100000000000000311e-01,-5.509104822888821057e-02
4.200000000000000400e-01,-5.512287113890402407e-02
4.299999999999999933e-01,-5.491129048901890325e-02
4.400000000000000022e-01,-5.448466717697690587e-02
4.500000000000000111e-01,-5.386688539269408188e-02
4.600000000000000200e-01,-5.308675872901418014e-02
4.700000000000000289e-01,-5.216496550418561057e-02
4.800000000000000377e-01,-5.111434760806889133e-02
4.899999999999999911e-01,-4.995610989122826334e-02
5.000000000000000000e-01,-4.870806073366198974e-02
5.100000000000000089e-01,-4.738321020818807988e-02
5.200000000000000178e-01,-4.599384877360583601e-02
5.300000000000000266e-01,-4.455491793446260396e-02
5.400000000000000355e-01,-4.306806909997060173e-02
5.500000000000000444e-01,-4.155694890762239718e-02
5.600000000000000533e-01,-4.002100888406490142e-02
5.700000000000000622e-01,-3.847060262467082853e-02
5.800000000000000711e-01,-3.690967389857582187e-02
5.899999999999999689e-01,-3.535119356385891393e-02
5.999999999999999778e-01,-3.379986051499759420e-02
6.099999999999999867e-01,-3.225348472272619726e-02
6.199999999999999956e-01,-3.072108591539542133e-02
6.300000000000000044e-01,-2.920833077155931060e-02
6.400000000000000133e-01,-2.772010194019937715e-02
6.500000000000000222e-01,-2.625653871731355171e-02
6.600000000000000311e-01,-2.481984251784181625e-02
6.700000000000000400e-01,-2.341472366992131127e-02
6.800000000000000488e-01,-2.204177684375288951e-02
6.900000000000000577e-01,-2.070388908024319019e-02
7.000000000000000666e-01,-1.940223908369271069e-02
7.100000000000000755e-01,-1.813826068041427680e-02
7.199999999999999734e-01,-1.691218188736056185e-02
7.299999999999999822e-01,-1.572726428875812973e-02
7.399999999999999911e-01,-1.458217590247247973e-02
7.500000000000000000e-01,-1.348119308615269851e-02
7.600000000000000089e-01,-1.242062069399421827e-02
7.700000000000000178e-01,-1.140077272478960679e-02
7.800000000000000266e-01,-1.042903093226706622e-02
7.900000000000000355e-01,-9.497650017152709651e-03
8.000000000000000444e-01,-8.608045378678727197e-03
8.100000000000000533e-01,-7.764293256032040423e-03
8.200000000000000622e-01,-6.963692557132669485e-03
8.300000000000000711e-01,-6.205381974429901616e-03
8.400000000000000799e-01,-5.494869795079720259e-03
8.499999999999999778e-01,-4.824730115960517395e-03
8.599999999999999867e-01,-4.199666849130917826e-03
8.699999999999999956e-01,-3.617047758599600642e-03
8.800000000000000044e-01,-3.081593190479582287e-03
8.900000000000000133e-01,-2.586879036961329224e-03
9.000000000000000222e-01,-2.135300551005424579e-03
9.100000000000000311e-01,-1.726994973786113302e-03
9.200000000000000400e-01,-1.364189676123058826e-03
9.300000000000000488e-01,-1.041687329665758575e-03
9.400000000000000577e-01,-7.631830344413958762e-04
9.500000000000000666e-01,-5.274914376358098020e-04
9.600000000000000755e-01,-3.367878134457707160e-04
9.699999999999999734e-01,-1.876507845296654690e-04
9.799999999999999822e-01,-8.015718344553216001e-05
9.899999999999999911e-01,-1.522674561545071833e-05
1.000000000000000000e+00,6.138427018458036380e-06
