D, Gamma_A/Gamma_K
1.000000000000000021e-03,9.885388078219489172e-01
2.000000000000000042e-03,9.774525684869452835e-01
3.000000000000000062e-03,9.666293820685432081e-01
4.000000000000000083e-03,9.560375504743590103e-01
5.000000000000000104e-03,9.456591678297494585e-01
6.000000000000000125e-03,9.354812921433729445e-01
7.000000000000000146e-03,9.254935537022355163e-01
8.000000000000000167e-03,9.156871557214788515e-01
8.999999999999999320e-03,9.060543734226134127e-01
1.000000000000000021e-02,8.965882710924995003e-01
2.000000000000000042e-02,8.099025282535767811e-01
2.999999999999999889e-02,7.349577787305913157e-01
4.000000000000000083e-02,6.690389867351390629e-01
5.000000000000000278e-02,6.103722308456219769e-01
6.000000000000000472e-02,5.577282589148634395e-01
6.999999999999999278e-02,5.102138587257394331e-01
8.000000000000000167e-02,4.671509815182435243e-01
8.999999999999999667e-02,4.280037490990903359e-01
9.999999999999999167e-02,3.923333926583031928e-01
1.100000000000000006e-01,3.597700602101999712e-01
1.199999999999999956e-01,3.299949863477588674e-01
1.300000000000000044e-01,3.027290610039787278e-01
1.400000000000000133e-01,2.777253385503044014e-01
1.500000000000000222e-01,2.547639544883861795e-01
1.600000000000000033e-01,2.336484998419776637e-01
1.700000000000000122e-01,2.142032732470915413e-01
1.800000000000000211e-01,1.962710645270419330e-01
1.900000000000000022e-01,1.797112691993774658e-01
2.000000000000000111e-01,1.643982220011472872e-01
2.100000000000000200e-01,1.502196896953669203e-01
2.200000000000000011e-01,1.370754927656022137e-01
2.300000000000000100e-01,1.248762410705350073e-01
2.400000000000000189e-01,1.135421758891325683e-01
2.500000000000000000e-01,1.030021136645478258e-01
2.600000000000000089e-01,9.319248735566293407e-02
2.700000000000000178e-01,8.405648090886878865e-02
2.800000000000000266e-01,7.554325166970811412e-02
2.900000000000000355e-01,6.760723491918294026e-02
2.999999999999999889e-01,6.020752428083108593e-02
3.099999999999999978e-01,5.330732154522139360e-02
3.200000000000000067e-01,4.687344947462983996e-02
3.300000000000000155e-01,4.087592133605733036e-02
3.400000000000000244e-01,3.528756122908002779e-02
3.500000000000000333e-01,3.008366966756872291e-02
3.600000000000000422e-01,2.524172931667643255e-02
3.699999999999999956e-01,2.074114624834672363e-02
3.800000000000000044e-01,1.656302252965755062e-02
3.900000000000000133e-01,1.268995640354692034e-02
4.000000000000000222e-01,9.105866728125947343e-03
4.100000000000000311e-01,5.795838726589554353e-03
4.200000000000000400e-01,2.745988443443619486e-03
4.299999999999999933e-01,-5.665637599688989445e-05
4.400000000000000022e-01,-2.624260996802366130e-03
4.500000000000000111e-01,-4.968275752541453059e-03
4.600000000000000200e-01,-7.099516983288366688e-03
4.700000000000000289e-01,-9.028238205961033880e-03
4.800000000000000377e-01,-1.076419268042913199e-02
4.899999999999999911e-01,-1.231668840311099695e-02
5.000000000000000000e-01,-1.369463641720472524e-02
5.100000000000000089e-01,-1.490659322127902732e-02
5.200000000000000178e-01,-1.596079795638791904e-02
5.300000000000000266e-01,-1.686520496868831528e-02
5.400000000000000355e-01,-1.762751226553170916e-02
5.500000000000000444e-01,-1.825518632170154004e-02
5.600000000000000533e-01,-1.875548363507851396e-02
5.700000000000000622e-01,-1.913546938021414012e-02
5.800000000000000711e-01,-1.940203346838975315e-02
5.899999999999999689e-01,-1.956190428506458454e-02
5.999999999999999778e-01,-1.962166034234270190e-02
6.099999999999999867e-01,-1.958774005662037437e-02
6.199999999999999956e-01,-1.946644984337624062e-02
6.300000000000000044e-01,-1.926397068529146772e-02
6.400000000000000133e-01,-1.898636333560555639e-02
6.500000000000000222e-01,-1.863957227719842055e-02
6.600000000000000311e-01,-1.822942856026672082e-02
6.700000000000000400e-01,-1.776165163288476873e-02
6.800000000000000488e-01,-1.724185025140297436e-02
6.900000000000000577e-01,-1.667552256717997131e-02
7.000000000000000666e-01,-1.606805546877252550e-02
7.100000000000000755e-01,-1.542472325460357910e-02
7.199999999999999734e-01,-1.475068570683116254e-02
7.299999999999999822e-01,-1.405098562891806714e-02
7.399999999999999911e-01,-1.333054591169892909e-02
7.500000000000000000e-01,-1.259416618186119836e-02
7.600000000000000089e-01,-1.184651908869933067e-02
7.700000000000000178e-01,-1.109214627881021341e-02
7.800000000000000266e-01,-1.033545411293074028e-02
7.900000000000000355e-01,-9.580709165429173585e-03
8.000000000000000444e-01,-8.832033556768871876e-03
8.100000000000000533e-01,-8.093400159384285877e-03
8.200000000000000622e-01,-7.368627722584908564e-03
8.300000000000000711e-01,-6.661375952177930014e-03
8.400000000000000799e-01,-5.975140588777499290e-03
8.499999999999999778e-01,-5.313248518114576865e-03
8.599999999999999867e-01,-4.678852952551533148e-03
8.699999999999999956e-01,-4.074928716664471054e-03
8.800000000000000044e-01,-3.504267671926741823e-03
8.900000000000000133e-01,-2.969474307962813829e-03
9.000000000000000222e-01,-2.472961537066287793e-03
9.100000000000000311e-01,-2.016946712078923967e-03
9.200000000000000400e-01,-1.603447901140683373e-03
9.300000000000000488e-01,-1.234280439405906985e-03
9.400000000000000577e-01,-9.110537815968511441e-04
9.500000000000000666e-01,-6.351686747012760511e-04
9.600000000000000755e-01,-4.078146723357949435e-04
9.699999999999999734e-01,-2.299680013693088457e-04
9.799999999999999822e-01,-1.023897999944699998e-04
9.899999999999999911e-01,-2.562473334020723157e-05
1.000000000000000000e+00,1.135630773599455992e-13
