GridPoints,RelativeError,Result,NormalizedResult
1.000000000000000000e+01,1.000000000000000000e+02,1.134978865128559301e+04,1.134978865128559278e+00
1.900000000000000000e+01,8.067390309515956592e-02,1.050251016405471455e+04,1.050251016405471471e+00
3.700000000000000000e+01,1.601295508449660510e-01,1.250491688881415575e+04,1.250491688881415486e+00
7.300000000000000000e+01,2.804268347360693026e-02,1.286570580435009288e+04,1.286570580435009381e+00
1.450000000000000000e+02,1.952429019529125509e-02,1.312190161948294008e+04,1.312190161948294076e+00
2.890000000000000000e+02,2.519374848092506211e-02,1.346103556376933193e+04,1.346103556376933241e+00
5.770000000000000000e+02,1.125292024415379226e-02,1.361423546969493873e+04,1.361423546969493970e+00
1.153000000000000000e+03,1.149386735356821947e-03,1.359860541301386911e+04,1.359860541301386894e+00
2.305000000000000000e+03,8.277579977596991718e-05,1.359747987074263074e+04,1.359747987074263031e+00
4.609000000000000000e+03,1.231594541941762320e-08,1.359747970327681287e+04,1.359747970327681355e+00
9.217000000000000000e+03,1.872836158270205311e-15,1.359747970327678740e+04,1.359747970327678690e+00
1.843300000000000000e+04,9.364180791351036415e-16,1.359747970327677467e+04,1.359747970327677358e+00
3.686500000000000000e+04,4.280768361760492046e-15,1.359747970327671646e+04,1.359747970327671585e+00
7.372900000000000000e+04,5.618508474810613566e-15,1.359747970327679286e+04,1.359747970327679356e+00
1.474570000000000000e+05,6.287378531335647505e-15,1.359747970327687835e+04,1.359747970327687794e+00
2.949130000000000000e+05,1.832703954878722160e-14,1.359747970327662915e+04,1.359747970327662925e+00
