GridPoints,RelativeError,Result,NormalizedResult
1.000000000000000000e+01,1.000000000000000000e+02,1.300146239741115278e+04,1.300146239741115206e+00
1.900000000000000000e+01,5.839204976729379243e-02,1.228416483312564014e+04,1.228416483312563923e+00
3.700000000000000000e+01,1.012508427846470563e-02,1.240981525849811078e+04,1.240981525849811140e+00
7.300000000000000000e+01,1.648707470646162358e-03,1.238938878065869903e+04,1.238938878065869886e+00
1.450000000000000000e+02,8.709279530496803306e-06,1.238928087894834243e+04,1.238928087894834329e+00
2.890000000000000000e+02,2.261521201510627009e-11,1.238928087866815622e+04,1.238928087866815630e+00
5.770000000000000000e+02,1.027737279469102437e-15,1.238928087866816895e+04,1.238928087866816963e+00
1.153000000000000000e+03,1.321376502174558614e-15,1.238928087866818532e+04,1.238928087866818517e+00
2.305000000000000000e+03,8.809176681163731653e-16,1.238928087866817441e+04,1.238928087866817407e+00
4.609000000000000000e+03,1.468196113527288773e-16,1.238928087866817259e+04,1.238928087866817185e+00
9.217000000000000000e+03,2.202294170290928525e-15,1.238928087866819988e+04,1.238928087866820071e+00
1.843300000000000000e+04,1.908654947585474912e-15,1.238928087866817623e+04,1.238928087866817629e+00
3.686500000000000000e+04,9.690094349280197214e-15,1.238928087866805618e+04,1.238928087866805638e+00
7.372900000000000000e+04,9.249635515221920948e-15,1.238928087866817077e+04,1.238928087866817185e+00
1.474570000000000000e+05,1.218602774227664798e-14,1.238928087866801980e+04,1.238928087866802086e+00
2.949130000000000000e+05,3.068529877271977044e-14,1.238928087866839996e+04,1.238928087866840055e+00
