GridPoints,RelativeError,Result,NormalizedResult
1.000000000000000000e+01,1.000000000000000000e+02,4.999481182863518916e+04,4.999481182863519280e+00
1.900000000000000000e+01,1.455342534165919996e-16,4.999481182863519643e+04,4.999481182863519280e+00
3.700000000000000000e+01,1.455342534165919749e-16,4.999481182863520371e+04,4.999481182863520168e+00
7.300000000000000000e+01,1.455342534165919503e-16,4.999481182863521099e+04,4.999481182863521056e+00
1.450000000000000000e+02,0.000000000000000000e+00,4.999481182863521099e+04,4.999481182863521056e+00
2.890000000000000000e+02,4.366027602497756782e-16,4.999481182863523281e+04,4.999481182863523721e+00
5.770000000000000000e+02,2.910685068331837033e-16,4.999481182863524737e+04,4.999481182863524609e+00
1.153000000000000000e+03,2.037479547832290114e-15,4.999481182863514550e+04,4.999481182863514839e+00
2.305000000000000000e+03,1.455342534165919256e-15,4.999481182863521826e+04,4.999481182863521944e+00
4.609000000000000000e+03,1.164274027332734222e-15,4.999481182863527647e+04,4.999481182863527273e+00
9.217000000000000000e+03,4.220493349081143754e-15,4.999481182863548747e+04,4.999481182863548590e+00
1.843300000000000000e+04,9.168657965245326023e-15,4.999481182863502909e+04,4.999481182863503292e+00
3.686500000000000000e+04,2.037479547832290508e-15,4.999481182863513095e+04,4.999481182863513062e+00
7.372900000000000000e+04,2.328548054665529185e-14,4.999481182863396680e+04,4.999481182863396711e+00
1.474570000000000000e+05,3.318180977898268767e-14,4.999481182863562572e+04,4.999481182863562800e+00
2.949130000000000000e+05,3.463715231314979653e-14,4.999481182863389404e+04,4.999481182863389606e+00
