GridPoints,RelativeError,Result,NormalizedResult
1.000000000000000000e+01,1.000000000000000000e+02,1.940718631324829403e+04,1.940718631324829468e+00
1.900000000000000000e+01,6.033900883430809436e-03,1.952499821724028516e+04,1.952499821724028584e+00
3.700000000000000000e+01,1.678157231405845657e-03,1.949228709469568275e+04,1.949228709469568166e+00
7.300000000000000000e+01,2.945420518748776166e-06,1.949222968188242157e+04,1.949222968188242255e+00
1.450000000000000000e+02,1.178615096464048732e-12,1.949222968185944774e+04,1.949222968185944760e+00
2.890000000000000000e+02,0.000000000000000000e+00,1.949222968185944774e+04,1.949222968185944760e+00
5.770000000000000000e+02,3.732747732269355980e-16,1.949222968185944046e+04,1.949222968185944094e+00
1.153000000000000000e+03,3.732747732269357459e-16,1.949222968185943319e+04,1.949222968185943428e+00
2.305000000000000000e+03,1.866373866134678483e-16,1.949222968185943682e+04,1.949222968185943650e+00
4.609000000000000000e+03,7.465495464538718862e-16,1.949222968185942227e+04,1.949222968185942317e+00
9.217000000000000000e+03,1.866373866134679469e-16,1.949222968185942591e+04,1.949222968185942539e+00
1.843300000000000000e+04,5.972396371631009799e-15,1.949222968185930949e+04,1.949222968185930993e+00
3.686500000000000000e+04,7.278858077925241054e-15,1.949222968185945138e+04,1.949222968185945204e+00
7.372900000000000000e+04,1.119824319680804920e-15,1.949222968185947320e+04,1.949222968185947424e+00
1.474570000000000000e+05,6.159033758244389591e-15,1.949222968185959326e+04,1.949222968185959415e+00
2.949130000000000000e+05,3.508782868333290408e-14,1.949222968185890932e+04,1.949222968185891025e+00
