GridPoints,RelativeError,Result,NormalizedResult
1.000000000000000000e+01,1.000000000000000000e+02,1.112798474317137880e+04,1.112798474317137964e+00
1.900000000000000000e+01,1.450235826004705499e-02,1.096890968519458693e+04,1.096890968519458776e+00
3.700000000000000000e+01,1.557394851073116149e-01,1.299232818745386248e+04,1.299232818745386320e+00
7.300000000000000000e+01,2.316211712643115664e-02,1.330039345856885302e+04,1.330039345856885324e+00
1.450000000000000000e+02,1.845620289224466932e-03,1.332498632368147810e+04,1.332498632368147806e+00
2.890000000000000000e+02,4.118788369071119115e-03,1.338009610790778243e+04,1.338009610790778181e+00
5.770000000000000000e+02,8.319575288131842231e-03,1.349234670210956028e+04,1.349234670210956111e+00
1.153000000000000000e+03,1.539116015142662046e-02,1.370325570526524825e+04,1.370325570526524928e+00
2.305000000000000000e+03,2.287912356940774786e-02,1.402411516917234803e+04,1.402411516917234868e+00
4.609000000000000000e+03,1.664538353211587191e-02,1.426150336238378623e+04,1.426150336238378724e+00
9.217000000000000000e+03,2.493008768513120337e-04,1.426505965426393050e+04,1.426505965426392963e+00
1.843300000000000000e+04,3.332048370049796792e-04,1.426030805064427477e+04,1.426030805064427476e+00
3.686500000000000000e+04,4.828284304866920675e-07,1.426030116536544483e+04,1.426030116536544545e+00
7.372900000000000000e+04,1.066369583454395579e-13,1.426030116536392416e+04,1.426030116536392445e+00
1.474570000000000000e+05,3.316460427011267317e-15,1.426030116536397145e+04,1.426030116536397108e+00
2.949130000000000000e+05,1.658230213505636420e-15,1.426030116536394780e+04,1.426030116536394887e+00
