GridPoints,RelativeError,Result
1.000000000000000000e+01,1.000000000000000000e+02,2.269125739712321374e+05
1.900000000000000000e+01,2.710991217418462149e-02,2.269741064521494554e+05
3.700000000000000000e+01,7.682787608502169936e-07,2.269741081959433213e+05
7.300000000000000000e+01,0.000000000000000000e+00,2.269741081959433213e+05
1.450000000000000000e+02,5.129013293729307718e-14,2.269741081959434377e+05
2.890000000000000000e+02,1.025802658745862553e-13,2.269741081959432049e+05
5.770000000000000000e+02,7.693519940593964101e-14,2.269741081959433795e+05
1.153000000000000000e+03,2.564506646864655436e-14,2.269741081959433213e+05
2.305000000000000000e+03,1.282253323432327403e-14,2.269741081959433504e+05
4.609000000000000000e+03,5.129013293729307086e-14,2.269741081959434669e+05
9.217000000000000000e+03,4.359661299669891996e-13,2.269741081959444564e+05
1.843300000000000000e+04,6.924167946534581953e-13,2.269741081959428848e+05
3.686500000000000000e+04,7.693519940593920934e-13,2.269741081959446310e+05
7.372900000000000000e+04,7.693519940593914876e-14,2.269741081959448056e+05
1.474570000000000000e+05,5.898365287788703749e-13,2.269741081959434669e+05
2.949130000000000000e+05,6.795942614191378480e-13,2.269741081959419244e+05
