GridPoints,RelativeError,Result
1.000000000000000000e+01,1.000000000000000000e+02,8.931817105034440465e+04
1.900000000000000000e+01,3.619178611998345119e+00,9.267214137009163096e+04
3.700000000000000000e+01,5.702878771351895804e-01,9.320367060459464847e+04
7.300000000000000000e+01,6.763619582274298016e-04,9.320430100303006475e+04
1.450000000000000000e+02,2.315240268943566511e-10,9.320430100324585510e+04
2.890000000000000000e+02,1.249033795370460097e-13,9.320430100324573868e+04
5.770000000000000000e+02,1.249033795370458583e-13,9.320430100324585510e+04
1.153000000000000000e+03,7.806461221065360461e-14,9.320430100324592786e+04
2.305000000000000000e+03,1.561292244213071650e-14,9.320430100324594241e+04
4.609000000000000000e+03,2.498067590740921204e-13,9.320430100324570958e+04
9.217000000000000000e+03,3.122584488426141660e-13,9.320430100324600062e+04
1.843300000000000000e+04,1.249033795370458078e-13,9.320430100324588420e+04
3.686500000000000000e+04,3.903230610532697396e-13,9.320430100324552041e+04
7.372900000000000000e+04,2.185809141898305422e-13,9.320430100324572413e+04
1.474570000000000000e+05,1.639356856423755989e-12,9.320430100324419618e+04
2.949130000000000000e+05,9.055495016435904367e-13,9.320430100324504019e+04
