GridPoints,RelativeError,Result
1.000000000000000000e+01,1.000000000000000000e+02,7.174194054358228459e+04
1.900000000000000000e+01,5.981282699241950773e+00,6.769302910512464587e+04
3.700000000000000000e+01,1.036927801570065988e+01,7.552435995883472788e+04
7.300000000000000000e+01,1.243232946635332015e+00,7.647512389507853368e+04
1.450000000000000000e+02,3.943153199186449909e-03,7.647813954528469185e+04
2.890000000000000000e+02,8.581824030596023343e-09,7.647813955184791121e+04
5.770000000000000000e+02,1.902754867422146541e-13,7.647813955184776569e+04
1.153000000000000000e+03,9.513774337110723867e-14,7.647813955184783845e+04
2.305000000000000000e+03,1.902754867422145026e-14,7.647813955184782390e+04
4.609000000000000000e+03,1.331928407195499751e-13,7.647813955184792576e+04
9.217000000000000000e+03,3.424958761359844891e-13,7.647813955184818769e+04
1.843300000000000000e+04,7.991570443173035362e-13,7.647813955184757651e+04
3.686500000000000000e+04,1.065542725756415957e-12,7.647813955184676161e+04
7.372900000000000000e+04,1.255818212498617434e-12,7.647813955184772203e+04
1.474570000000000000e+05,3.995785221586525759e-13,7.647813955184741644e+04
2.949130000000000000e+05,5.327713628782006073e-13,7.647813955184782390e+04
