GridPoints,RelativeError,Result
1.000000000000000000e+01,1.000000000000000000e+02,2.647202144474714296e+05
1.900000000000000000e+01,0.000000000000000000e+00,2.647202144474714296e+05
3.700000000000000000e+01,0.000000000000000000e+00,2.647202144474714296e+05
7.300000000000000000e+01,2.198837026290546892e-14,2.647202144474714878e+05
1.450000000000000000e+02,2.198837026290547523e-14,2.647202144474714296e+05
2.890000000000000000e+02,2.198837026290547838e-14,2.647202144474713714e+05
5.770000000000000000e+02,4.397674052581097570e-14,2.647202144474712550e+05
1.153000000000000000e+03,6.596511078871651719e-14,2.647202144474710803e+05
2.305000000000000000e+03,1.978953323661491224e-13,2.647202144474716042e+05
4.609000000000000000e+03,2.198837026290541149e-13,2.647202144474721863e+05
9.217000000000000000e+03,5.716976268355439904e-13,2.647202144474706729e+05
1.843300000000000000e+04,8.355580699904033949e-13,2.647202144474728848e+05
3.686500000000000000e+04,8.355580699904103621e-13,2.647202144474706729e+05
7.372900000000000000e+04,4.617557755210141562e-13,2.647202144474718953e+05
1.474570000000000000e+05,4.837441457839219002e-13,2.647202144474706147e+05
2.949130000000000000e+05,2.242813766816314833e-12,2.647202144474765519e+05
