GridPoints,RelativeError,Result
1.000000000000000000e+01,1.000000000000000000e+02,6.723645901366973703e+04
1.900000000000000000e+01,6.360629756275827162e+01,1.847475099012365681e+05
3.700000000000000000e+01,1.278488322670127175e+01,1.638052056408021308e+05
7.300000000000000000e+01,2.621290570709128298e-01,1.642357151723571005e+05
1.450000000000000000e+02,3.272359394859222892e+00,1.697919169173123373e+05
2.890000000000000000e+02,1.576691427542509594e+01,2.015739011063864455e+05
5.770000000000000000e+02,2.774069292264148601e+01,2.789590839704397367e+05
1.153000000000000000e+03,1.070726554585835544e+01,3.124096105643462506e+05
2.305000000000000000e+03,2.556877337943039841e-01,3.132104512692033895e+05
4.609000000000000000e+03,2.896494364341012181e-05,3.132105419904603623e+05
9.217000000000000000e+03,2.973471354753592837e-13,3.132105419904594310e+05
1.843300000000000000e+04,3.159313314425702203e-13,3.132105419904584414e+05
3.686500000000000000e+04,2.601787435409395310e-13,3.132105419904592563e+05
7.372900000000000000e+04,7.433678386883992191e-14,3.132105419904590235e+05
1.474570000000000000e+05,1.486735677376776173e-12,3.132105419904636801e+05
2.949130000000000000e+05,3.623918213606023631e-12,3.132105419904523296e+05
