number_theta_steps,Appellian Root %,Appellian Value %
3.141592653589793116e-01,1.000000000000000000e+02,1.000000000000000000e+02
2.929859823281577569e-01,3.697880989885379832e-01,2.907171587827262016e+01
2.732397077091078263e-01,3.391690023808994758e-01,1.452927638238936892e+00
2.548242659109066777e-01,2.933890723856914517e-01,2.795877762834686475e-01
2.376499632555711949e-01,2.184077083961782073e-01,2.000407397314222635e+01
2.216331511188198156e-01,2.618827804239280410e-01,2.318461760043301734e+00
2.066958185136858195e-01,2.554103932366877938e-01,1.541954512742126582e+00
1.927652121326300372e-01,6.165615753941017241e-01,1.470854445107169717e+01
1.797734819975446152e-01,1.944521997093170140e-01,1.934720198241046241e+00
1.676573509917604066e-01,1.867141854897374498e-01,2.109641397826588438e+00
1.563578066644904785e-01,1.361240135921236161e-01,3.888274857287560948e+00
1.458198138066231775e-01,3.884440961361977918e-01,3.726307664767078975e+00
1.359920463979447380e-01,1.782278333144766413e-01,2.378189037752101331e+00
1.268266376202213941e-01,3.383732581634382730e-01,1.861866417436679466e+00
1.182789467185637600e-01,2.647694181234341859e-01,2.088342596532823670e-01
1.103073415755546072e-01,2.822472083008717991e-01,2.640497826423912064e-01
1.028729959391527782e-01,2.652773434616683135e-01,1.602276913873708075e-01
9.593970031675778942e-02,2.485751052902162583e-01,5.474264953965178870e-01
8.947368561438141799e-02,2.848788633619692146e-01,5.099723049743798420e-01
8.344345866194911865e-02,2.658629900018879555e-01,1.279992089392729404e-01
7.781964882364535152e-02,2.842861640987195404e-01,9.182906067032866604e-01
7.257486494620848938e-02,2.516736155585723167e-01,3.719663955808326095e-01
6.768356194843166973e-02,2.206384021970922427e-01,1.025660724024935744e-01
6.312191640208512922e-02,2.202712253198444436e-01,5.206734366787617585e-01
5.886771049826741015e-02,1.829252119866045800e-01,2.696820446937703286e-02
5.490022383403665024e-02,1.481641414562889225e-01,4.060965347832164452e-01
5.120013249226049862e-02,1.440629385496319248e-01,9.167566515106220226e-01
4.774941492314641045e-02,9.762643836516284035e-02,3.630925250746669386e-01
4.453126416904191337e-02,5.759208382207463284e-02,1.190534120818035058e-01
4.153000600498929495e-02,2.483850641626478978e-02,1.457353793823834565e-01
3.873102259633323663e-02,1.045787126035803427e-02,3.258208817958636039e-01
3.612068130154999501e-02,4.457399789571210580e-02,4.317509049959869505e-01
3.368626827352767111e-02,7.381648716737217175e-02,4.741536930446955123e-01
3.141592653589793394e-02,8.802849463436789035e-02,4.996666222855970091e-02
2.929859823281577222e-02,9.950003742488415515e-02,2.847671313924204570e-02
2.732397077091078263e-02,1.089953980217624741e-01,3.992431803911634658e-01
2.548242659109067193e-02,1.018991574422108276e-01,2.869135419375632434e-01
2.376499632555711949e-02,8.309498932366728152e-02,2.235889508158266370e-01
2.216331511188199613e-02,6.940447619334796925e-02,4.896849693008006182e-02
2.066958185136859305e-02,4.989791242659438741e-02,2.359129424871535818e-01
1.927652121326301274e-02,2.682776121759634924e-02,4.361673902683384924e-02
1.797734819975447401e-02,6.294680878050540676e-03,1.447631608429734429e-01
1.676573509917604968e-02,1.153700728567473924e-02,7.193152604286587315e-02
1.563578066644905756e-02,2.583332687011867523e-02,2.734812297299572814e-02
1.458198138066231671e-02,3.654292093635791439e-02,2.033925341298571318e-02
1.359920463979447276e-02,4.357275657057832485e-02,4.400152896006440800e-02
1.268266376202214010e-02,4.737277536151999341e-02,9.245715996959288918e-02
1.182789467185637461e-02,5.000189704701810817e-02,2.731836451566345761e-02
1.103073415755546037e-02,5.052773024238382121e-02,9.407572835808823697e-02
