number_theta_steps,Appellian Root %,Appellian Value %
3.141592653589793116e-01,1.000000000000000000e+02,1.000000000000000000e+02
2.929859823281577569e-01,1.318344081497366815e+01,2.076738488906587854e+00
2.732397077091078263e-01,2.050263539341365870e+01,2.142275203909388193e+00
2.548242659109066777e-01,2.618510909657980790e+01,1.369870667366106076e+00
2.376499632555711949e-01,2.310069004732521591e+01,3.009291928791802739e+00
2.216331511188198156e-01,2.948943417993659999e+00,4.341373759581333425e-01
2.066958185136858195e-01,1.093189365407906521e+01,7.822951656856319547e-02
1.927652121326300372e-01,2.895566023553224255e+01,2.586268275921480786e+00
1.797734819975446152e-01,3.057407066193497158e+01,1.087514559516472357e+00
1.676573509917604066e-01,1.881376308794807528e+01,1.410547567126356538e+00
1.563578066644904785e-01,1.531950423429795727e+01,8.220077869081003907e-01
1.458198138066231775e-01,1.224602255094642267e-01,2.547603270089167649e-01
1.359920463979447380e-01,3.063461144864074015e+01,2.331457850326029146e-01
1.268266376202213941e-01,2.255265681365639807e+01,1.369984628211010858e+00
1.182789467185637600e-01,1.089682725269282493e+01,1.144129860709909297e+00
1.103073415755546072e-01,1.138733329551568829e+01,2.988745180435871118e-01
1.028729959391527782e-01,1.578625621581950789e+01,1.951748290807498176e-01
9.593970031675778942e-02,3.613678268734204835e+01,6.242203156862766722e-01
8.947368561438141799e-02,6.385456811445214598e+00,4.342104445661260637e-01
8.344345866194911865e-02,6.514415543810395448e+00,7.819892246822347792e-02
7.781964882364535152e-02,2.538636548846209351e+01,7.210963855676075784e-01
7.257486494620848938e-02,8.179394117659482433e+00,1.684992036242118629e-01
6.768356194843166973e-02,2.850755796436574130e+01,3.079477421094989342e-01
6.312191640208512922e-02,1.479063425087479544e+01,2.799477202682494337e-01
5.886771049826741015e-02,1.176539440108613732e+01,2.114804097469814292e-01
5.490022383403665024e-02,7.774380453455187023e+01,6.384849436273056789e-01
5.120013249226049862e-02,4.449549184745040975e+01,6.229514203910129222e-01
4.774941492314641045e-02,5.411023136315606052e+00,8.428109381121848265e-02
4.453126416904191337e-02,1.113250670094164896e+01,3.810488088210353674e-01
4.153000600498929495e-02,2.637621978401754674e+01,1.254516598204695743e-01
3.873102259633323663e-02,5.616498986736879573e+01,5.411674456694594293e-02
3.612068130154999501e-02,1.607037337184083015e+01,1.685243468279714885e-01
3.368626827352767111e-02,2.535446375653081930e+01,2.280370703641530772e-01
3.141592653589793394e-02,3.546888876469320451e+01,2.562832277682030035e-01
2.929859823281577222e-02,1.447060164512413678e+02,2.114941207271218426e-01
2.732397077091078263e-02,7.287115492747368251e+01,2.330973686044300885e-01
2.548242659109067193e-02,9.497704882447078489e+01,1.534481642743069363e-01
2.376499632555711949e-02,3.840323331188496780e+01,3.209436396676064174e-01
2.216331511188199613e-02,3.928241699079702443e+01,2.773580487001835529e-02
2.066958185136859305e-02,2.630394998351990310e+01,1.807255942273832683e-01
1.927652121326301274e-02,1.442025284263727869e+01,9.427903164027747612e-03
1.797734819975447401e-02,3.204356863982336279e+01,1.260977661647408321e-01
1.676573509917604968e-02,4.525659633757565814e+01,7.820535542460449463e-02
1.563578066644905756e-02,1.813608645611436145e+02,2.493995147652594210e-02
1.458198138066231671e-02,7.478317018689739371e+01,1.192666459420926341e-02
1.359920463979447276e-02,1.805405906086328685e+02,3.184366365708481139e-02
