number_theta_steps,Appellian Root %,Appellian Value %
3.141592653589793116e-01,1.000000000000000000e+02,1.000000000000000000e+02
2.929859823281577569e-01,1.024568714482156686e-04,1.255160355560314400e+01
2.732397077091078263e-01,6.673445259368391365e-05,4.015728191321643159e+00
2.548242659109066777e-01,6.346733420213912838e-05,2.184961062506512786e+00
2.376499632555711949e-01,6.877704134928125368e-05,1.787235196538037485e+01
2.216331511188198156e-01,3.858706035748408136e-05,1.238228769204375412e+00
2.066958185136858195e-01,4.115922733909181658e-05,8.488122521417791333e-01
1.927652121326300372e-01,7.483205299256682791e-05,1.738987203286638916e+01
1.797734819975446152e-01,5.038723624685563258e-05,1.806269002691816894e+00
1.676573509917604066e-01,4.913088964425085825e-05,2.115437910275004718e+00
1.563578066644904785e-01,5.288971850726830511e-05,6.791782998829693163e+00
1.458198138066231775e-01,8.969661608332509233e-05,6.484895347543308652e+00
1.359920463979447380e-01,5.386566931296894685e-05,4.650022289099834616e+00
1.268266376202213941e-01,9.595813756130938102e-05,2.014721568497245041e+00
1.182789467185637600e-01,8.214895124831435769e-05,1.016230756574458383e+00
1.103073415755546072e-01,9.245675938222528442e-05,5.786574099167673263e-02
1.028729959391527782e-01,9.245662296514185795e-05,4.333079416353825541e-01
9.593970031675778942e-02,9.263001263582908195e-05,7.814927397042019663e-01
8.947368561438141799e-02,1.134831688753634520e-04,6.071166342325370197e-02
8.344345866194911865e-02,1.179025939563828942e-04,9.499798732599422368e-02
7.781964882364535152e-02,1.386242115965183352e-04,6.686827444916830787e-01
7.257486494620848938e-02,1.382036271306970278e-04,1.384605891582743609e-01
6.768356194843166973e-02,1.376272255183423924e-04,3.260726548624469090e-01
6.312191640208512922e-02,1.602227954138910689e-04,2.616151642792125531e-01
5.886771049826741015e-02,1.596227109498729992e-04,2.144827957509030103e-01
5.490022383403665024e-02,1.588246790031007437e-04,6.446084638982260140e-01
5.120013249226049862e-02,2.035314640789747526e-04,6.201604203343442645e-01
4.774941492314641045e-02,2.024029323523891864e-04,8.291953704118365520e-02
4.453126416904191337e-02,2.011672207029966569e-04,3.802922381886117420e-01
4.153000600498929495e-02,2.224274232203506140e-04,1.229780987837083145e-01
3.873102259633323663e-02,2.433199881779604180e-04,5.868235665084032410e-02
3.612068130154999501e-02,2.636646903500195968e-04,1.750629821562624533e-01
3.368626827352767111e-02,2.835909933036874714e-04,2.368162234734795812e-01
3.141592653589793394e-02,2.817006150583502961e-04,2.462969187785804537e-01
2.929859823281577222e-02,3.010351354461869881e-04,1.994729447400145350e-01
2.732397077091078263e-02,3.411693324627672222e-04,2.481535577066284193e-01
2.548242659109067193e-02,3.594805710559348193e-04,1.706416481232286009e-01
2.376499632555711949e-02,3.561243189798262028e-04,3.029008292205785935e-01
2.216331511188199613e-02,3.942209792529881903e-04,6.535442137879651954e-03
2.066958185136859305e-02,4.314386799015132077e-04,2.051471987099992567e-01
1.927652121326301274e-02,4.468764171718281374e-04,3.584979557316955029e-02
1.797734819975447401e-02,4.817252717856109032e-04,1.557314311427374642e-01
1.676573509917604968e-02,4.958278681738882568e-04,4.672186931241784774e-02
1.563578066644905756e-02,5.284918498718110206e-04,9.702705393222125704e-03
1.458198138066231671e-02,5.596987651092201954e-04,2.592087986963384147e-02
1.359920463979447276e-02,5.899350942727577679e-04,9.146563551245753820e-03
1.268266376202214010e-02,6.178922844136212206e-04,3.409834278769797306e-02
1.182789467185637461e-02,6.629391141628608900e-04,9.141628957442803072e-02
1.103073415755546037e-02,7.055396237876779058e-04,1.630185552820595796e-01
1.028729959391527782e-02,7.272244900476362069e-04,2.457653893700256081e-02
9.593970031675776861e-03,7.649147178537879163e-04,3.665553949221352775e-02
8.947368561438141452e-03,7.991076792982071669e-04,1.697949945842965047e-02
8.344345866194912212e-03,8.468428947490380925e-04,1.059833601181923018e-01
7.781964882364528387e-03,8.731996631421651625e-04,2.275784615752562620e-02
7.257486494620841305e-03,9.285600522679909744e-04,1.599562497703285735e-01
6.768356194843164718e-03,9.448967675616481120e-04,2.243341510767938099e-02
6.312191640208510320e-03,9.863001792079987683e-04,8.543377435073280790e-02
5.886771049826738933e-03,1.019374260194241344e-03,1.071040047864774691e-01
5.490022383403661901e-03,1.047125864265166040e-03,9.498635895011477148e-02
5.120013249226047433e-03,1.072374488032332715e-03,1.385260096255345741e-01
4.774941492314641739e-03,1.084234937378556396e-03,1.439016851375520267e-01
4.453126416904191684e-03,1.079963140381528857e-03,1.183006961554040753e-01
4.153000600498929669e-03,1.078136322706925139e-03,1.353394117128047802e-01
3.873102259633324183e-03,1.039213591865858826e-03,1.194639839379284391e-01
3.612068130155000022e-03,9.995305875447127453e-04,1.358042890851171025e-01
3.368626827352767025e-03,9.283002452036082444e-04,1.743539811682697227e-01
3.141592653589793307e-03,7.932338710865679621e-04,1.753868025996996871e-01
2.929859823281576962e-03,6.136045289372196688e-04,1.938175617891844116e-01
2.732397077091078003e-03,4.495814677629385216e-04,1.781700862086006421e-01
2.548242659109067280e-03,1.388113434999226482e-04,1.764445832523213187e-01
2.376499632555712036e-03,2.901462686000440315e-04,1.831171921767512645e-01
2.216331511188199179e-03,7.000585617199484804e-04,1.937192211396872865e-01
2.066958185136859218e-03,1.280494887426000599e-03,2.044342588807445404e-01
