number_theta_steps,Appellian Root %,Appellian Value %
3.612068130154999501e-02,3.376226925061375492e-07,3.954294409936089938e+00
3.368626827352767111e-02,1.087294978094985847e-07,3.810702546230306798e+00
3.141592653589793394e-02,1.930610895406955568e-07,3.899345652800154216e+00
2.929859823281577222e-02,1.454054454329049375e-08,3.772040106621433964e+00
2.732397077091078263e-02,1.698872101009734066e-07,3.453114577143503450e+00
2.548242659109067193e-02,7.432883102756290651e-07,3.362452924668585474e+00
2.376499632555711949e-02,1.454259240346474959e-07,3.483809789796354028e+00
2.216331511188199613e-02,8.084045361219153076e-08,3.222205724293563556e+00
2.066958185136859305e-02,4.449087542729890423e-07,2.991558234970074892e+00
1.927652121326301274e-02,1.006341033481493509e-07,2.966417077288276083e+00
1.797734819975447401e-02,7.182441115162854161e-07,2.780208674111775302e+00
1.676573509917604968e-02,3.318725626385890934e-07,2.786262614107663182e+00
1.563578066644905756e-02,6.413492691832043369e-07,2.639971584463174370e+00
1.458198138066231671e-02,1.654684892888389598e-07,2.522686826086838252e+00
1.359920463979447276e-02,3.229750458395375756e-07,2.425814589239373209e+00
1.268266376202214010e-02,9.314621119365598154e-08,2.351008870544140983e+00
1.182789467185637461e-02,9.590026284767744926e-08,2.165981178619782455e+00
1.103073415755546037e-02,5.812865730555115172e-07,2.014374751373704253e+00
1.028729959391527782e-02,1.993571072123749238e-07,2.011645627050978824e+00
9.593970031675776861e-03,4.672311469547037094e-07,1.908936729884090910e+00
8.947368561438141452e-03,6.631364195361423427e-07,1.832228260179452173e+00
8.344345866194912212e-03,4.227198525097259602e-07,1.680181994608143548e+00
7.781964882364528387e-03,1.881837015502663913e-07,1.657438386181708800e+00
7.257486494620841305e-03,6.265505357419122317e-07,1.471611166927500935e+00
6.768356194843164718e-03,4.055735866203067743e-07,1.498556650870836782e+00
6.312191640208510320e-03,6.681091302976111528e-07,1.375212926321116580e+00
5.886771049826738933e-03,1.720399855249185423e-07,1.287445537080674107e+00
5.490022383403661901e-03,8.100181301490489891e-07,1.227928645845102418e+00
5.120013249226047433e-03,5.924067250937780620e-07,1.128141932382236812e+00
4.774941492314641739e-03,4.045525474565284652e-08,1.062425800061734371e+00
4.453126416904191684e-03,2.285004506095041941e-06,1.022052694208196888e+00
4.153000600498929669e-03,3.647896841800426147e-07,9.550490057610183658e-01
3.873102259633324183e-03,1.491477240020570889e-06,9.148611338292358397e-01
3.612068130155000022e-03,5.746675338116549697e-07,8.527458450807632317e-01
3.368626827352767025e-03,6.726417950717105700e-07,7.727351222375046236e-01
3.141592653589793307e-03,9.442563578945631221e-07,7.269625040240721425e-01
2.929859823281576962e-03,1.027673739652089215e-06,6.685895229305663934e-01
2.732397077091078003e-03,1.102414689847345766e-06,6.420971478485532069e-01
2.548242659109067280e-03,8.263643566814212986e-07,6.056488007255308448e-01
2.376499632555712036e-03,6.489996139043251180e-07,5.631980761260282353e-01
2.216331511188199179e-03,3.408491440922987165e-06,5.163956832674566622e-01
2.066958185136859218e-03,1.114442538715498273e-06,4.737353678950363411e-01
1.927652121326299236e-03,2.357124007282734307e-06,4.314925721148662463e-01
1.797734819975445450e-03,1.216204362905336388e-06,4.221596150277722170e-01
1.676573509917603146e-03,1.337536818492360396e-06,3.623664311906828472e-01
1.563578066644904152e-03,5.191692442159209472e-07,3.619667543875860760e-01
1.458198138066231584e-03,1.509720616075541316e-06,2.969783230258457030e-01
1.359920463979447233e-03,3.139159822476849582e-07,2.905586060048345742e-01
1.268266376202214010e-03,7.206371230932429939e-07,2.516976757939398124e-01
1.182789467185637678e-03,6.911347102014562595e-07,2.279154698087552111e-01
1.103073415755546080e-03,2.990829427142813501e-06,1.984213130027180638e-01
1.028729959391527738e-03,8.767015580358333541e-07,1.708677009273795733e-01
9.593970031675777077e-04,1.520828387236822225e-06,1.586883309279394361e-01
8.947368561438141885e-04,1.236347505836895847e-06,1.328329048421358904e-01
8.344345866194912646e-04,6.771160860627166455e-06,1.004842774782322423e-01
7.781964882364535326e-04,9.944299704565687996e-06,8.795719943621127523e-02
7.257486494620849328e-04,1.355398475651651680e-05,5.885553822565154497e-02
6.768356194843164718e-04,1.489656716522811024e-05,5.089844482151544003e-02
6.312191640208509669e-04,1.807700404239035084e-05,2.173320684384900600e-02
5.886771049826737198e-04,3.274342428551887003e-05,8.630173936322860923e-03
5.490022383403661468e-04,3.842737138484527733e-05,2.009105168715519946e-02
5.120013249226047650e-04,6.434375089632598426e-05,2.893613815339262166e-02
4.774941492314641197e-04,4.127642443732058554e-05,5.414955270943105914e-02
4.453126416904191250e-04,1.105944507016900043e-04,6.215968077216112164e-02
4.153000600498929669e-04,1.047366333957019577e-04,7.717490773723550967e-02
3.873102259633324400e-04,2.130435430459569162e-04,9.066625133268964298e-02
3.612068130154999588e-04,1.317993445579599527e-04,1.120410761214983425e-01
3.368626827352766808e-04,3.077583942402082858e-04,1.107174212286449327e-01
3.141592653589793090e-04,4.228060778919797216e-04,1.166453335462940832e-01
