number_theta_steps,Appellian Root %,Appellian Value %
3.141592653589793116e-01,1.000000000000000000e+02,1.000000000000000000e+02
2.929859823281577569e-01,1.436727170560191307e-07,5.403313740580262703e+00
2.732397077091078263e-01,8.943455160276170374e-09,5.828109457743392952e+00
2.548242659109066777e-01,1.678521502253024604e-08,5.904003102010417336e+00
2.376499632555711949e-01,1.905672914650092678e-07,7.852413675969932783e+00
2.216331511188198156e-01,2.758593578653026340e-07,6.020129508035836352e+00
2.066958185136858195e-01,8.651276713146307725e-08,6.003391112684147934e+00
1.927652121326300372e-01,4.250731355535598248e-08,4.224122357006671713e+00
1.797734819975446152e-01,2.258044547773742553e-08,6.107822746151082782e+00
1.676573509917604066e-01,2.199515392367699337e-07,6.119023037242913965e+00
1.563578066644904785e-01,2.314021934623333285e-07,6.754844256505846189e+00
1.458198138066231775e-01,5.293359100836797220e-08,4.889596619524580134e+00
1.359920463979447380e-01,1.224792445947395048e-07,6.421991778921945837e+00
1.268266376202213941e-01,1.895894852165307946e-07,5.346909619536859282e+00
1.182789467185637600e-01,2.017145108582817294e-07,5.404317671587074656e+00
1.103073415755546072e-01,5.383604181350559281e-08,5.518901035769713914e+00
1.028729959391527782e-01,1.666277023590567163e-08,5.520500721708900826e+00
9.593970031675778942e-02,1.793032913762944375e-07,5.527048722531067604e+00
8.947368561438141799e-02,1.623556004874177902e-08,5.286441283424285764e+00
8.344345866194911865e-02,8.651391929557577361e-08,5.192913156758374171e+00
7.781964882364535152e-02,1.813107310843049295e-07,4.970951695765623235e+00
7.257486494620848938e-02,1.520900951095555271e-08,5.001434764781827802e+00
6.768356194843166973e-02,2.484535389325192189e-07,5.029756153447793032e+00
6.312191640208512922e-02,5.420415536340946716e-08,4.783017497863387035e+00
5.886771049826741015e-02,1.145108702304878992e-07,4.818633309832255129e+00
5.490022383403665024e-02,1.055400735567450592e-07,4.860111313141102229e+00
5.120013249226049862e-02,2.664023700280884308e-07,4.367696624526461235e+00
4.774941492314641045e-02,1.071811040145292939e-07,4.428721139584604671e+00
4.453126416904191337e-02,1.530511562389894679e-07,4.483032980956879854e+00
4.153000600498929495e-02,1.203150580867048081e-07,4.291716150921006445e+00
3.873102259633323663e-02,1.812986600541346683e-07,4.117210039816521672e+00
