number_theta_steps,Appellian Root %,Appellian Value %
3.141592653589793116e-01,1.000000000000000000e+02,1.000000000000000000e+02
2.929859823281577569e-01,1.922816335195803461e+01,1.181124649910617830e+00
2.732397077091078263e-01,5.959836551377565073e+00,2.991759325403530401e+00
2.548242659109066777e-01,5.799203907241095912e+00,2.129582774310029958e+00
2.376499632555711949e-01,8.669330418729344956e+00,2.672514093550587777e+00
2.216331511188198156e-01,2.685074397848096428e+00,1.031568878338654294e+00
2.066958185136858195e-01,3.093817024679743177e+00,3.981693258659557699e-01
1.927652121326300372e-01,3.760848155523177638e+00,3.126102920470093416e+00
1.797734819975446152e-01,3.065398707910050646e+00,8.215938333440117036e-01
1.676573509917604066e-01,2.534299306587716405e+00,1.204969308176796927e+00
1.563578066644904785e-01,3.056205319349418303e+00,1.051262121901434421e+00
1.458198138066231775e-01,1.963486352953822234e+00,3.993659150737542962e-01
1.359920463979447380e-01,1.401620346370709758e+00,1.399801604843766700e-01
1.268266376202213941e-01,1.041868967794885803e+00,1.438894809318330692e+00
1.182789467185637600e-01,3.567058499885025213e-01,1.119752794179174282e+00
1.103073415755546072e-01,1.010733542311735289e-01,3.103438104376536888e-01
1.028729959391527782e-01,1.798956367134048884e-01,1.977174637124620438e-01
9.593970031675778942e-02,3.467554218847667125e-01,6.344137764947819225e-01
8.947368561438141799e-02,5.470575974092980465e-01,4.163461766044383450e-01
8.344345866194911865e-02,5.975126862439967823e-01,9.759329730129021052e-02
7.781964882364535152e-02,7.084799166244490909e-01,6.981138147332326405e-01
7.257486494620848938e-02,6.679521099507286230e-01,1.472156023073094011e-01
6.768356194843166973e-02,6.122155661603605470e-01,3.270696568937938031e-01
6.312191640208512922e-02,6.448725618451598418e-01,2.599844525689432029e-01
5.886771049826741015e-02,5.738310977544512914e-01,2.289991395074664760e-01
5.490022383403665024e-02,5.143555900005651882e-01,6.539913641355084017e-01
5.120013249226049862e-02,5.812588012403072657e-01,6.053498204623019019e-01
4.774941492314641045e-02,5.095785763600563234e-01,6.897773589068074973e-02
4.453126416904191337e-02,4.507453475871478488e-01,3.943196407131113745e-01
4.153000600498929495e-02,4.418432020445265951e-01,1.384256579092826289e-01
3.873102259633323663e-02,4.277545400785151553e-01,4.154727002285429904e-02
3.612068130154999501e-02,4.096809199934806633e-01,1.565519157397823602e-01
3.368626827352767111e-02,3.877127932296375867e-01,2.167848514628582246e-01
3.141592653589793394e-02,3.393958743618872842e-01,2.660959738371432848e-01
2.929859823281577222e-02,3.225478857908102848e-01,2.206644186957277542e-01
2.732397077091078263e-02,3.232655486095710740e-01,2.238616135340978086e-01
2.548242659109067193e-02,2.999524831917763090e-01,1.449058817849036007e-01
2.376499632555711949e-02,2.622758633422963004e-01,3.283552763176582623e-01
2.216331511188199613e-02,2.581787944397252454e-01,3.501954607688955584e-02
2.066958185136859305e-02,2.491895935136873852e-01,1.736928976051113349e-01
1.927652121326301274e-02,2.274513465231986775e-01,3.089170681928981189e-03
1.797734819975447401e-02,2.170012662620303956e-01,1.199900607878787440e-01
1.676573509917604968e-02,1.979007787030109544e-01,8.368445886790133736e-02
1.563578066644905756e-02,1.860488047049768112e-01,3.012676922240623695e-02
1.458198138066231671e-02,1.749752164274780974e-01,1.677149752918583731e-02
1.359920463979447276e-02,1.634332408858425734e-01,3.634081900240151292e-02
1.268266376202214010e-02,1.520512021713155137e-01,8.244618801740666303e-02
1.182789467185637461e-02,1.447508313979946615e-01,3.892885296275484797e-02
1.103073415755546037e-02,1.368073423991730542e-01,1.062016796072348251e-01
1.028729959391527782e-02,1.252880369978073283e-01,3.488903537894504775e-02
9.593970031675776861e-03,1.169994087437281338e-01,2.691871414792958855e-02
8.947368561438141452e-03,1.094163115049420071e-01,5.069206442902047388e-02
8.344345866194912212e-03,1.033572270132190885e-01,3.283081423579242708e-02
7.781964882364528387e-03,9.536780844948036795e-02,5.427875502632673044e-02
7.257486494620841305e-03,9.141161354985057053e-02,7.612377780932669258e-02
6.768356194843164718e-03,8.285407469178265871e-02,6.506597390240266565e-02
6.312191640208510320e-03,7.850418320589433452e-02,8.567339188247922663e-03
5.886771049826738933e-03,7.334582627515259801e-02,6.825706748745847402e-03
5.490022383403661901e-03,6.860908937664805807e-02,1.137471342087585137e-02
5.120013249226047433e-03,6.428350226547342727e-02,2.482836568435753052e-02
4.774941492314641739e-03,6.004283676835027450e-02,2.332467410047803572e-02
4.453126416904191684e-03,5.592276131644413617e-02,8.851571302613948575e-03
4.153000600498929669e-03,5.198090930671077359e-02,6.219020361232257448e-04
3.873102259633324183e-03,4.844582293279098284e-02,2.228894826986455024e-02
3.612068130155000022e-03,4.536255546959154505e-02,1.372078387725690109e-02
