GridPoints,RelativeError,Result,NormalizedResult
1.000000000000000000e+01,1.000000000000000000e+02,5.898447149597095267e+04,5.898447149597095596e+00
1.900000000000000000e+01,2.467075631823003559e-16,5.898447149597096723e+04,5.898447149597096484e+00
3.700000000000000000e+01,3.700613447734506817e-16,5.898447149597094540e+04,5.898447149597094707e+00
7.300000000000000000e+01,0.000000000000000000e+00,5.898447149597094540e+04,5.898447149597094707e+00
1.450000000000000000e+02,0.000000000000000000e+00,5.898447149597094540e+04,5.898447149597094707e+00
2.890000000000000000e+02,1.233537815911502272e-16,5.898447149597093812e+04,5.898447149597093819e+00
5.770000000000000000e+02,1.356891597502650725e-15,5.898447149597101816e+04,5.898447149597101813e+00
1.153000000000000000e+03,1.603599160684953546e-15,5.898447149597092357e+04,5.898447149597092043e+00
2.305000000000000000e+03,1.110184034320351256e-15,5.898447149597098905e+04,5.898447149597099148e+00
4.609000000000000000e+03,1.233537815911501533e-16,5.898447149597098178e+04,5.898447149597098260e+00
9.217000000000000000e+03,2.960490758187594804e-15,5.898447149597115640e+04,5.898447149597116024e+00
1.843300000000000000e+04,3.577259666143356196e-15,5.898447149597094540e+04,5.898447149597094707e+00
3.686500000000000000e+04,1.233537815911502026e-16,5.898447149597095267e+04,5.898447149597095596e+00
7.372900000000000000e+04,9.374887400927504045e-15,5.898447149597039970e+04,5.898447149597039640e+00
1.474570000000000000e+05,1.097848656161259150e-14,5.898447149596975214e+04,5.898447149596974803e+00
2.949130000000000000e+05,3.182527565051638708e-14,5.898447149597162934e+04,5.898447149597163097e+00
