GridPoints,RelativeError,Result,NormalizedResult
1.000000000000000000e+01,1.000000000000000000e+02,1.363607965286629224e+04,1.363607965286629309e+00
1.900000000000000000e+01,3.267625378210601856e-03,1.359166717626892387e+04,1.359166717626892451e+00
3.700000000000000000e+01,6.478051404504432849e-03,1.368028879028082883e+04,1.368028879028082789e+00
7.300000000000000000e+01,5.878189250178389100e-03,1.360034339792043829e+04,1.360034339792043800e+00
1.450000000000000000e+02,1.175920604405338715e-03,1.358436925821185650e+04,1.358436925821185692e+00
2.890000000000000000e+02,3.895964398917801994e-06,1.358431633419903483e+04,1.358431633419903584e+00
5.770000000000000000e+02,6.081180247052962078e-11,1.358431633502512159e+04,1.358431633502512170e+00
1.153000000000000000e+03,2.811976439033082776e-15,1.358431633502515979e+04,1.358431633502515945e+00
2.305000000000000000e+03,2.276361879217262462e-15,1.358431633502512886e+04,1.358431633502512836e+00
4.609000000000000000e+03,1.606843679447476914e-15,1.358431633502515069e+04,1.358431633502515057e+00
9.217000000000000000e+03,9.373254796776939298e-16,1.358431633502516343e+04,1.358431633502516389e+00
1.843300000000000000e+04,1.740747319401434655e-15,1.358431633502513978e+04,1.358431633502513947e+00
3.686500000000000000e+04,1.874650959355387860e-15,1.358431633502516524e+04,1.358431633502516611e+00
7.372900000000000000e+04,1.432768947507352579e-14,1.358431633502497061e+04,1.358431633502497071e+00
1.474570000000000000e+05,2.437046247161979487e-14,1.358431633502530167e+04,1.358431633502530156e+00
2.949130000000000000e+05,1.071229119631638260e-15,1.358431633502531622e+04,1.358431633502531710e+00
