GridPoints,RelativeError,Result,NormalizedResult
1.000000000000000000e+01,1.000000000000000000e+02,5.278704809539848793e+04,5.278704809539848775e+00
1.900000000000000000e+01,4.305501394425747044e-04,5.276433040558476932e+04,5.276433040558476506e+00
3.700000000000000000e+01,2.965750800332039094e-08,5.276433197044336703e+04,5.276433197044336332e+00
7.300000000000000000e+01,2.757907602529355308e-16,5.276433197044338158e+04,5.276433197044338108e+00
1.450000000000000000e+02,1.378953801264677900e-16,5.276433197044337430e+04,5.276433197044337220e+00
2.890000000000000000e+02,1.378953801264677900e-16,5.276433197044336703e+04,5.276433197044336332e+00
5.770000000000000000e+02,9.652676608852755164e-16,5.276433197044331610e+04,5.276433197044331891e+00
1.153000000000000000e+03,2.757907602529359252e-16,5.276433197044330154e+04,5.276433197044330115e+00
2.305000000000000000e+03,1.241058421138210308e-15,5.276433197044336703e+04,5.276433197044336332e+00
4.609000000000000000e+03,2.482116842276426532e-15,5.276433197044323606e+04,5.276433197044323897e+00
9.217000000000000000e+03,7.997932047335088041e-15,5.276433197044365807e+04,5.276433197044365642e+00
1.843300000000000000e+04,7.722141287082213597e-15,5.276433197044325061e+04,5.276433197044324785e+00
3.686500000000000000e+04,3.585279883288158202e-15,5.276433197044343979e+04,5.276433197044344325e+00
7.372900000000000000e+04,5.929501345438142385e-15,5.276433197044312692e+04,5.276433197044312351e+00
1.474570000000000000e+05,1.227268883125553964e-14,5.276433197044377448e+04,5.276433197044377188e+00
2.949130000000000000e+05,1.006636274923217332e-14,5.276433197044324334e+04,5.276433197044323897e+00
