GridPoints,RelativeError,Result,NormalizedResult
1.000000000000000000e+01,1.000000000000000000e+02,9.588348224949162613e+03,9.588348224949162502e-01
1.900000000000000000e+01,4.318181981359890953e-01,1.687549336056357060e+04,1.687549336056357152e+00
3.700000000000000000e+01,1.739842109114008994e-01,1.437454882588462897e+04,1.437454882588462990e+00
7.300000000000000000e+01,2.495241660687202156e-01,1.915391299222153248e+04,1.915391299222153343e+00
1.450000000000000000e+02,1.466109077653982851e-01,1.670480619232039317e+04,1.670480619232039388e+00
2.890000000000000000e+02,7.607550541203941807e-02,1.552382347549484075e+04,1.552382347549484010e+00
5.770000000000000000e+02,3.203210860809953958e-02,1.504199660651237173e+04,1.504199660651237114e+00
1.153000000000000000e+03,1.109199061033325738e-02,1.521071370004979144e+04,1.521071370004979162e+00
2.305000000000000000e+03,2.086751898243418765e-02,1.489979200749898519e+04,1.489979200749898425e+00
4.609000000000000000e+03,1.534348792768673760e-02,1.513196919415157754e+04,1.513196919415157771e+00
9.217000000000000000e+03,4.787788700053411143e-04,1.512472779406919472e+04,1.512472779406919487e+00
1.843300000000000000e+04,4.901835291432508690e-05,1.512398644116435025e+04,1.512398644116434987e+00
3.686500000000000000e+04,4.685744796874905476e-07,1.512399352788174838e+04,1.512399352788174944e+00
7.372900000000000000e+04,7.480903816308837940e-14,1.512399352788061697e+04,1.512399352788061702e+00
1.474570000000000000e+05,2.405435310710242979e-15,1.512399352788058059e+04,1.512399352788058149e+00
2.949130000000000000e+05,7.697392994272718842e-15,1.512399352788069700e+04,1.512399352788069695e+00
