GridPoints,TrueError,Result,NormalizedResult
1.000000000000000000e+01,2.300814318187228980e-01,1.387274659827526557e+04,1.387274659827526513e+00
1.900000000000000000e+01,6.670574528669932779e-02,1.203021045314627736e+04,1.203021045314627724e+00
3.700000000000000000e+01,1.769629480291898954e-02,1.147748632456809719e+04,1.147748632456809803e+00
7.300000000000000000e+01,4.506085566763878836e-03,1.132872834352869540e+04,1.132872834352869562e+00
1.450000000000000000e+02,1.131005343639968725e-03,1.129066449549952813e+04,1.129066449549952722e+00
2.890000000000000000e+02,2.818928462261319234e-04,1.128108828192102192e+04,1.128108828192102120e+00
5.770000000000000000e+02,6.927135638753665042e-05,1.127869035608165905e+04,1.127869035608165982e+00
1.153000000000000000e+03,1.609436668080295490e-05,1.127809063082447028e+04,1.127809063082447105e+00
2.305000000000000000e+03,2.798765710222008728e-06,1.127794068424502802e+04,1.127794068424502694e+00
4.609000000000000000e+03,5.252191605871992488e-07,1.127790319664573872e+04,1.127790319664573770e+00
9.217000000000000000e+03,1.356220797963554594e-06,1.127789382468479380e+04,1.127789382468479484e+00
1.843300000000000000e+04,1.563971734033349525e-06,1.127789148168861720e+04,1.127789148168861777e+00
