GridPoints,TrueError,Result,NormalizedResult
1.000000000000000000e+01,9.813507859705578040e-02,1.238466761792328543e+04,1.238466761792328619e+00
1.900000000000000000e+01,2.594563870383469889e-02,1.157052167538241338e+04,1.157052167538241250e+00
3.700000000000000000e+01,6.343526681642221339e-03,1.134945083743568102e+04,1.134945083743568173e+00
7.300000000000000000e+01,1.313230537912404156e-03,1.129271961467991059e+04,1.129271961467991137e+00
1.450000000000000000e+02,4.668461075053470272e-05,1.127843562481704794e+04,1.127843562481704698e+00
2.890000000000000000e+02,2.705290475263304032e-04,1.127485811800737247e+04,1.127485811800737148e+00
5.770000000000000000e+02,3.498688083315327634e-04,1.127396333139540729e+04,1.127396333139540685e+00
1.153000000000000000e+03,3.697060244368687346e-04,1.127373960907497712e+04,1.127373960907497752e+00
2.305000000000000000e+03,3.746654709077285473e-04,1.127368367688839317e+04,1.127368367688839301e+00
4.609000000000000000e+03,3.759053412982913322e-04,1.127366969374280779e+04,1.127366969374280714e+00
