GridPoints,TrueError,Result,NormalizedResult
1.000000000000000000e+01,2.137750324377158673e-01,1.368884450798152284e+04,1.368884450798152352e+00
1.900000000000000000e+01,6.169501590686878034e-02,1.197369990257553582e+04,1.197369990257553640e+00
3.700000000000000000e+01,1.608626083928118081e-02,1.145932850784604489e+04,1.145932850784604495e+00
7.300000000000000000e+01,3.816157490969714679e-03,1.132094739739053875e+04,1.132094739739053946e+00
1.450000000000000000e+02,6.770660163501197567e-04,1.128554500902035034e+04,1.128554500902035018e+00
2.890000000000000000e+02,1.126345644511062499e-04,1.127663883763804733e+04,1.127663883763804664e+00
5.770000000000000000e+02,3.103763503644027034e-04,1.127440872374728679e+04,1.127440872374728675e+00
1.153000000000000000e+03,3.598317303992979734e-04,1.127385097046575720e+04,1.127385097046575746e+00
2.305000000000000000e+03,3.721968235804478569e-04,1.127371151806859962e+04,1.127371151806859872e+00
4.609000000000000000e+03,3.752881747415444109e-04,1.127367665409114670e+04,1.127367665409114705e+00
