GridPoints,TrueError,Result,NormalizedResult
1.000000000000000000e+01,8.749423185480666165e-02,1.226466111540414204e+04,1.226466111540414294e+00
1.900000000000000000e+01,2.227114107733041068e-02,1.152908102508896991e+04,1.152908102508896970e+00
3.700000000000000000e+01,4.583113549925943962e-03,1.132959705812249558e+04,1.132959705812249585e+00
7.300000000000000000e+01,4.620554342921758234e-05,1.127843022193933575e+04,1.127843022193933509e+00
1.450000000000000000e+02,1.095949404247271433e-03,1.126554910223845945e+04,1.126554910223845907e+00
2.890000000000000000e+02,1.381997809056591947e-03,1.126232307432509333e+04,1.126232307432509350e+00
5.770000000000000000e+02,1.453541999188522321e-03,1.126151620545072001e+04,1.126151620545071896e+00
1.153000000000000000e+03,1.471430056013423200e-03,1.126131446557151503e+04,1.126131446557151472e+00
2.305000000000000000e+03,1.475902195905845222e-03,1.126126402918423628e+04,1.126126402918423697e+00
4.609000000000000000e+03,1.477020238690845847e-03,1.126125141999931475e+04,1.126125141999931412e+00
