GridPoints,TrueError,Result,NormalizedResult
1.000000000000000000e+01,1.332005953301965417e-01,1.278013332888617697e+04,1.278013332888617626e+00
1.900000000000000000e+01,3.580512937298267750e-02,1.168171611511874653e+04,1.168171611511874763e+00
3.700000000000000000e+01,9.118410559126781736e-03,1.138074572562455978e+04,1.138074572562455922e+00
7.300000000000000000e+01,2.246920418686217114e-03,1.130324968430155968e+04,1.130324968430155952e+00
1.450000000000000000e+02,5.151008164275287706e-04,1.128371838021501753e+04,1.128371838021501761e+00
2.890000000000000000e+02,8.124607592638491773e-05,1.127882540588035590e+04,1.127882540588035498e+00
5.770000000000000000e+02,2.727431796545386626e-05,1.127760152274037500e+04,1.127760152274037475e+00
1.153000000000000000e+03,5.440796826045295203e-05,1.127729551189825361e+04,1.127729551189825319e+00
2.305000000000000000e+03,6.119160278685091504e-05,1.127721900668456146e+04,1.127721900668456234e+00
4.609000000000000000e+03,6.288752536613741715e-05,1.127719988022383768e+04,1.127719988022383824e+00
