GridPoints,TrueError,Result,NormalizedResult
1.000000000000000000e+01,2.106330003479092439e-01,1.365340895562049809e+04,1.365340895562049850e+00
1.900000000000000000e+01,5.992892575714080933e-02,1.195378209836914175e+04,1.195378209836914118e+00
3.700000000000000000e+01,1.479768807864430789e-02,1.144479610135704934e+04,1.144479610135704872e+00
7.300000000000000000e+01,2.666102043038097880e-03,1.130797717656578243e+04,1.130797717656578216e+00
1.450000000000000000e+02,4.364127628607492428e-04,1.127298729654133967e+04,1.127298729654133913e+00
2.890000000000000000e+02,1.216820519681908151e-03,1.126418592878335221e+04,1.126418592878335234e+00
5.770000000000000000e+02,1.412229224451006047e-03,1.126198212716970556e+04,1.126198212716970515e+00
1.153000000000000000e+03,1.461100706968122831e-03,1.126143095903131689e+04,1.126143095903131774e+00
2.305000000000000000e+03,1.473319786332818581e-03,1.126129315336471154e+04,1.126129315336471093e+00
4.609000000000000000e+03,1.476374631783505852e-03,1.126125870109534299e+04,1.126125870109534244e+00
9.217000000000000000e+03,1.477138347890338084e-03,1.126125008797449664e+04,1.126125008797449700e+00
1.843300000000000000e+04,1.477329277124744475e-03,1.126124793469194265e+04,1.126124793469194252e+00
