GridPoints,TrueError,Result,NormalizedResult
1.000000000000000000e+01,1.623442858760562046e-01,1.310881322228435965e+04,1.310881322228435897e+00
1.900000000000000000e+01,4.414282105247317040e-02,1.177574784415078466e+04,1.177574784415078568e+00
3.700000000000000000e+01,1.133200736079615495e-02,1.140571046918215325e+04,1.140571046918215314e+00
7.300000000000000000e+01,2.831394746775337413e-03,1.130984133265673336e+04,1.130984133265673375e+00
1.450000000000000000e+02,6.846876841042510162e-04,1.128563096549662441e+04,1.128563096549662470e+00
2.890000000000000000e+02,1.466029676360767781e-04,1.127956249496542478e+04,1.127956249496542496e+00
5.770000000000000000e+02,1.199275266237832493e-05,1.127804437319432509e+04,1.127804437319432473e+00
1.153000000000000000e+03,2.166538239227138829e-05,1.127766477980602940e+04,1.127766477980602922e+00
2.305000000000000000e+03,3.008026522645023833e-05,1.127756987752216992e+04,1.127756987752216888e+00
4.609000000000000000e+03,3.218400783856671199e-05,1.127754615170417856e+04,1.127754615170417862e+00
