GridPoints,TrueError,Result,NormalizedResult
1.000000000000000000e+01,1.087046831902751948e-01,1.250387065796015668e+04,1.250387065796015662e+00
1.900000000000000000e+01,2.895760443279162336e-02,1.160449035114620347e+04,1.160449035114620386e+00
3.700000000000000000e+01,7.268401186201582653e-03,1.135988148804552475e+04,1.135988148804552456e+00
7.300000000000000000e+01,1.699510267301547863e-03,1.129707604236286716e+04,1.129707604236286800e+00
1.450000000000000000e+02,2.971441906442793342e-04,1.128126028519732790e+04,1.128126028519732760e+00
2.890000000000000000e+02,5.410003141802671608e-05,1.127729898478197720e+04,1.127729898478197823e+00
5.770000000000000000e+02,1.419521919412663872e-04,1.127630819609959872e+04,1.127630819609959811e+00
1.153000000000000000e+03,1.639178061089499323e-04,1.127606046989925017e+04,1.127606046989924948e+00
2.305000000000000000e+03,1.694093704870066914e-04,1.127599853653526770e+04,1.127599853653526774e+00
4.609000000000000000e+03,1.707822719151106999e-04,1.127598305307773080e+04,1.127598305307773163e+00
