GridPoints,TrueError,Result,NormalizedResult
1.000000000000000000e+01,1.203600900444907196e-01,1.263531927721885404e+04,1.263531927721885495e+00
1.900000000000000000e+01,3.220575717748062200e-02,1.164112272260874852e+04,1.164112272260874770e+00
3.700000000000000000e+01,8.159494828912412442e-03,1.136993116116544479e+04,1.136993116116544522e+00
7.300000000000000000e+01,1.978930207008840897e-03,1.130022731504920739e+04,1.130022731504920719e+00
1.450000000000000000e+02,4.220679961939441589e-04,1.128266916452324404e+04,1.128266916452324464e+00
2.890000000000000000e+02,3.209770726084244948e-05,1.127827111504514869e+04,1.127827111504514868e+00
5.770000000000000000e+02,6.544240422527716696e-05,1.127717106653225164e+04,1.127717106653225221e+00
1.153000000000000000e+03,8.983040912275647790e-05,1.127689602082939928e+04,1.127689602082939890e+00
2.305000000000000000e+03,9.592759659988432739e-05,1.127682725730314451e+04,1.127682725730314361e+00
4.609000000000000000e+03,9.745190497616533466e-05,1.127681006629180592e+04,1.127681006629180693e+00
