GridPoints,TrueError,Result,NormalizedResult
1.000000000000000000e+01,2.216095481334924289e-01,1.377720146399785881e+04,1.377720146399785905e+00
1.900000000000000000e+01,6.424645324444548666e-02,1.200247478099415093e+04,1.200247478099415011e+00
3.700000000000000000e+01,1.703823231067917721e-02,1.147006475558532293e+04,1.147006475558532301e+00
7.300000000000000000e+01,4.334677361004376020e-03,1.132679521736171409e+04,1.132679521736171369e+00
1.450000000000000000e+02,1.084310058641187614e-03,1.129013787031897846e+04,1.129013787031897920e+00
2.890000000000000000e+02,2.665851950104829778e-04,1.128091564362177087e+04,1.128091564362177168e+00
5.770000000000000000e+02,6.182404543325224940e-05,1.127860636598552810e+04,1.127860636598552846e+00
1.153000000000000000e+03,1.061298581553502304e-05,1.127802881230921957e+04,1.127802881230921983e+00
2.305000000000000000e+03,2.191079786675497573e-06,1.127788440922099107e+04,1.127788440922099067e+00
4.609000000000000000e+03,5.392177510120753613e-06,1.127784830753178176e+04,1.127784830753178147e+00
